date,mean
2025-10-28,1.34
2025-10-29,1.13
2025-10-30,1.14
2025-10-31,0.92
2025-11-01,0.98
2025-11-02,1.09
2025-11-03,1.25
2025-11-04,2
2025-11-05,1.83
2025-11-06,1.24
2025-11-07,1.24
2025-11-08,1
2025-11-09,1.08
2025-11-10,0.86
2025-11-11,1.52
2025-11-12,1.62
2025-11-13,1.62
2025-11-14,0.91
2025-11-15,0.86
2025-11-16,0.86
2025-11-17,0.9
2025-11-18,0.93
2025-11-19,1
2025-11-20,1.04
2025-11-21,0.94
2025-11-22,0.77
2025-11-23,0.68
2025-11-24,0.95
2025-11-25,0.83
2025-11-26,0.78
2025-11-27,0.72
2025-11-28,0.65
2025-11-29,0.67
