date,mean
2025-10-28,1.72
2025-10-29,2.17
2025-10-30,1.84
2025-10-31,2.31
2025-11-01,1.58
2025-11-02,2.25
2025-11-03,2.34
2025-11-04,2.45
2025-11-05,2.54
2025-11-06,1.88
2025-11-07,1.88
2025-11-08,2.01
2025-11-09,1.64
2025-11-10,1.52
2025-11-11,2.26
2025-11-12,2.47
2025-11-13,2.47
2025-11-14,1.37
2025-11-15,1.04
2025-11-16,1.04
2025-11-17,1.53
2025-11-18,1.66
2025-11-19,1.25
2025-11-20,1.61
2025-11-21,1.99
2025-11-22,1.66
2025-11-23,1.48
2025-11-24,1.15
2025-11-25,1.96
2025-11-26,1.48
2025-11-27,1.45
2025-11-28,1.3
2025-11-29,0.96
2025-11-30,1.57
2025-12-01,1.41
2025-12-02,1.41
2025-12-03,1.45
2025-12-04,1.2
2025-12-05,0.62
2025-12-06,0.97
2025-12-07,1.12
2025-12-08,1.5
2025-12-09,1.18
2025-12-10,0.85
2025-12-11,0.83
2025-12-12,0.43
2025-12-13,1.41
2025-12-14,1.31
2025-12-15,0.84
2025-12-16,1.24
2025-12-17,1.16
2025-12-18,1.09
2025-12-19,0.9
2025-12-20,1.13
2025-12-21,1.05
2025-12-22,1.11
2025-12-23,1.05
2025-12-24,0.84
2025-12-25,1.01
2025-12-26,0.94
2025-12-27,0.74
2025-12-28,1.11
2025-12-29,0.86
2025-12-30,0.88
2025-12-31,0.94
2026-01-01,0.62
2026-01-02,1.6
2026-01-03,0.52
2026-01-04,1.23
2026-01-05,1.5
2026-01-06,1.59
2026-01-07,0.68
2026-01-08,0.72
2026-01-09,1.36
2026-01-10,1
2026-01-11,0.66
2026-01-12,1.04
2026-01-13,1.04
2026-01-14,0.95
2026-01-15,0.87
2026-01-16,0.8
2026-01-17,1.06
2026-01-18,1.22
2026-01-19,1.52
2026-01-20,1.14
2026-01-21,0.9
2026-01-22,1.26
2026-01-23,1.51
2026-01-24,1.27
2026-01-25,1.27
2026-01-26,0.99
2026-01-27,1.8
2026-01-28,1.54
2026-01-29,0.45
2026-01-30,1.13
2026-01-31,1.66
2026-02-01,0.66
2026-02-02,1.7
2026-02-03,1.29
2026-02-04,0.68
2026-02-05,1.83
2026-02-06,1.64
2026-02-07,1.62
2026-02-08,1.53
2026-02-09,0.5
2026-02-10,0.54
2026-02-11,0.76
2026-02-12,1.93
2026-02-13,1.6
2026-02-14,2.53
2026-02-15,1.34
2026-02-16,1.55
2026-02-17,1.03
2026-02-18,1.52
2026-02-19,2.05
2026-02-20,2.34
2026-02-21,2.73
2026-02-22,2.69
2026-02-23,3.07
2026-02-24,3.23
2026-02-25,3.25
2026-02-26,2.83
2026-02-27,2.15
2026-02-28,2.73
2026-03-01,2.3
2026-03-02,1.63
2026-03-03,2.7
2026-03-04,2.04
2026-03-05,1.55
2026-03-06,1.74
2026-03-07,2.11
2026-03-08,2.64
2026-03-09,1.59
2026-03-10,2.03
2026-03-11,2.76
2026-03-12,3.21
2026-03-13,3.07
2026-03-14,2.26
2026-03-15,3.58
2026-03-16,4
2026-03-17,3.99
2026-03-18,2.48
2026-03-19,1.73
