date,mean
2025-10-28,1.75
2025-10-29,2.12
2025-10-30,1.82
2025-10-31,2.52
2025-11-01,1.54
2025-11-02,2.11
2025-11-03,2.38
2025-11-04,2.45
2025-11-05,2.46
2025-11-06,1.84
2025-11-07,1.84
2025-11-08,1.9
2025-11-09,1.56
2025-11-10,1.47
2025-11-11,2.15
2025-11-12,2.33
2025-11-13,2.33
2025-11-14,1.28
2025-11-15,1.04
2025-11-16,1.04
2025-11-17,1.39
2025-11-18,1.7
2025-11-19,1.19
2025-11-20,1.61
2025-11-21,1.94
2025-11-22,1.62
2025-11-23,1.35
2025-11-24,1.07
2025-11-25,1.93
2025-11-26,1.56
2025-11-27,1.49
2025-11-28,1.28
2025-11-29,0.93
2025-11-30,1.55
2025-12-01,1.49
2025-12-02,1.49
2025-12-03,1.39
2025-12-04,1.19
2025-12-05,0.63
2025-12-06,0.97
2025-12-07,1.09
2025-12-08,1.46
2025-12-09,1.09
2025-12-10,0.84
2025-12-11,0.82
2025-12-12,0.43
2025-12-13,1.36
2025-12-14,1.39
2025-12-15,0.78
2025-12-16,1.18
2025-12-17,1.23
2025-12-18,1.1
2025-12-19,0.9
2025-12-20,1.08
2025-12-21,1
2025-12-22,1.06
2025-12-23,0.99
2025-12-24,0.81
2025-12-25,0.99
2025-12-26,0.92
2025-12-27,0.86
2025-12-28,1.11
2025-12-29,0.82
2025-12-30,0.85
2025-12-31,0.89
2026-01-01,0.64
2026-01-02,1.7
2026-01-03,0.52
2026-01-04,1.22
2026-01-05,1.53
2026-01-06,1.57
2026-01-07,0.66
2026-01-08,0.67
2026-01-09,1.34
2026-01-10,0.96
2026-01-11,0.63
2026-01-12,1.01
2026-01-13,0.99
2026-01-14,0.91
2026-01-15,0.83
2026-01-16,0.76
2026-01-17,1.03
2026-01-18,1.16
2026-01-19,1.57
2026-01-20,1.09
2026-01-21,0.92
2026-01-22,1.17
2026-01-23,1.35
