date,mean
2025-10-28,1.73
2025-10-29,2.13
2025-10-30,1.81
2025-10-31,2.43
2025-11-01,1.57
2025-11-02,2.15
2025-11-03,2.32
2025-11-04,2.37
2025-11-05,2.47
2025-11-06,1.85
2025-11-07,1.85
2025-11-08,1.94
2025-11-09,1.55
2025-11-10,1.47
2025-11-11,2.17
2025-11-12,2.4
2025-11-13,2.4
2025-11-14,1.25
2025-11-15,1.02
2025-11-16,1.02
2025-11-17,1.4
2025-11-18,1.68
2025-11-19,1.18
2025-11-20,1.61
2025-11-21,1.89
2025-11-22,1.57
2025-11-23,1.37
2025-11-24,1.04
2025-11-25,1.91
2025-11-26,1.5
2025-11-27,1.44
2025-11-28,1.27
2025-11-29,0.93
2025-11-30,1.54
2025-12-01,1.42
2025-12-02,1.42
2025-12-03,1.42
2025-12-04,1.2
2025-12-05,0.65
2025-12-06,0.97
2025-12-07,1.08
2025-12-08,1.43
2025-12-09,1.08
2025-12-10,0.82
2025-12-11,0.82
2025-12-12,0.43
2025-12-13,1.36
2025-12-14,1.33
2025-12-15,0.78
2025-12-16,1.14
2025-12-17,1.19
2025-12-18,1.06
2025-12-19,0.85
2025-12-20,1.08
2025-12-21,1
2025-12-22,1.06
2025-12-23,0.99
2025-12-24,0.81
2025-12-25,0.98
2025-12-26,0.91
2025-12-27,0.79
2025-12-28,1.06
2025-12-29,0.83
2025-12-30,0.85
2025-12-31,0.85
2026-01-01,0.61
2026-01-02,1.6
2026-01-03,0.52
2026-01-04,1.2
2026-01-05,1.48
2026-01-06,1.58
2026-01-07,0.64
2026-01-08,0.66
2026-01-09,1.33
2026-01-10,0.97
2026-01-11,0.63
2026-01-12,0.99
2026-01-13,0.97
2026-01-14,0.91
2026-01-15,0.82
2026-01-16,0.77
2026-01-17,1.03
2026-01-18,1.17
2026-01-19,1.55
2026-01-20,1.1
2026-01-21,0.9
2026-01-22,1.14
2026-01-23,1.37
2026-01-24,1.22
2026-01-25,1.17
2026-01-26,0.95
2026-01-27,1.71
2026-01-28,1.57
2026-01-29,0.47
2026-01-30,1.14
2026-01-31,1.62
2026-02-01,0.65
2026-02-02,1.62
2026-02-03,1.2
2026-02-04,0.69
2026-02-05,1.76
2026-02-06,1.62
2026-02-07,1.58
2026-02-08,1.51
