date,mean
2025-10-28,0.79
2025-10-29,0.93
2025-10-30,0.83
2025-10-31,0.66
2025-11-01,1
2025-11-02,0.87
2025-11-03,1.16
2025-11-04,0.96
2025-11-05,0.96
2025-11-06,1
2025-11-07,1
2025-11-08,0.93
2025-11-09,0.88
2025-11-10,0.72
2025-11-11,1.15
2025-11-12,1.03
2025-11-13,1.03
2025-11-14,0.61
2025-11-15,0.57
2025-11-16,0.57
2025-11-17,0.86
2025-11-18,0.73
2025-11-19,0.82
2025-11-20,0.87
2025-11-21,0.82
2025-11-22,0.56
2025-11-23,0.52
2025-11-24,0.85
2025-11-25,0.68
2025-11-26,0.66
2025-11-27,0.56
2025-11-28,0.51
2025-11-29,0.54
2025-11-30,0.83
2025-12-01,0.66
2025-12-02,0.66
2025-12-03,0.44
2025-12-04,0.72
2025-12-05,0.49
2025-12-06,0.5
2025-12-07,0.6
2025-12-08,0.54
2025-12-09,0.54
