date,mean
2025-10-28,1.27
2025-10-29,1.24
2025-10-30,1.17
2025-10-31,0.86
2025-11-01,0.96
2025-11-02,1.04
2025-11-03,1.28
2025-11-04,1.86
2025-11-05,1.77
2025-11-06,1.72
2025-11-07,1.72
2025-11-08,1.05
2025-11-09,0.79
2025-11-10,0.78
2025-11-11,2.15
2025-11-12,1.83
2025-11-13,1.83
2025-11-14,1.19
2025-11-15,0.67
2025-11-16,0.67
2025-11-17,0.91
2025-11-18,0.76
2025-11-19,0.93
2025-11-20,1.02
2025-11-21,1.1
2025-11-22,0.54
2025-11-23,0.65
2025-11-24,1.7
2025-11-25,1.08
2025-11-26,0.63
2025-11-27,0.51
2025-11-28,0.44
2025-11-29,0.5
2025-11-30,0.87
2025-12-01,0.55
2025-12-02,0.55
2025-12-03,0.55
2025-12-04,1.21
2025-12-05,0.68
2025-12-06,1.13
2025-12-07,0.95
2025-12-08,0.84
2025-12-09,1.02
2025-12-10,0.54
