date,mean
2025-10-28,1.98
2025-10-29,1.65
2025-10-30,1.49
2025-10-31,0.93
2025-11-01,0.92
2025-11-02,1.3
2025-11-03,1.99
2025-11-04,3.16
2025-11-05,2.18
2025-11-06,1.42
2025-11-07,1.42
2025-11-08,1.22
2025-11-09,1.11
2025-11-10,0.87
2025-11-11,2.02
2025-11-12,2.17
2025-11-13,2.17
2025-11-14,0.98
2025-11-15,0.76
2025-11-16,0.76
2025-11-17,0.92
2025-11-18,1.02
2025-11-19,0.91
2025-11-20,1.08
2025-11-21,1.27
2025-11-22,0.92
2025-11-23,0.72
2025-11-24,1.21
2025-11-25,1.22
2025-11-26,0.81
2025-11-27,0.71
2025-11-28,0.64
2025-11-29,0.6
2025-11-30,1.14
2025-12-01,0.99
2025-12-02,0.99
2025-12-03,0.65
2025-12-04,1.28
2025-12-05,0.69
2025-12-06,0.76
2025-12-07,0.78
2025-12-08,1.07
2025-12-09,1.13
2025-12-10,0.63
2025-12-11,0.68
2025-12-12,0.52
2025-12-13,0.68
2025-12-14,0.54
2025-12-15,0.4
2025-12-16,0.65
2025-12-17,0.59
2025-12-18,0.84
2025-12-19,0.43
2025-12-20,0.66
2025-12-21,0.67
2025-12-22,0.54
2025-12-23,0.41
2025-12-24,0.71
2025-12-25,0.82
2025-12-26,0.78
2025-12-27,1.09
2025-12-28,1.04
2025-12-29,0.61
2025-12-30,0.49
2025-12-31,0.38
2026-01-01,0.34
2026-01-02,0.49
2026-01-03,0.57
