date,mean
2025-10-28,1.12
2025-10-29,1.21
2025-10-30,1.29
2025-10-31,0.88
2025-11-01,1.05
2025-11-02,1.6
2025-11-03,1.57
2025-11-04,1.53
2025-11-05,1.24
2025-11-06,1.23
2025-11-07,1.23
2025-11-08,1.37
2025-11-09,1.1
2025-11-10,0.7
2025-11-11,0.94
2025-11-12,1.3
2025-11-13,1.3
2025-11-14,0.82
2025-11-15,0.67
2025-11-16,0.67
2025-11-17,0.97
2025-11-18,1.35
2025-11-19,0.86
2025-11-20,1.25
2025-11-21,1.49
2025-11-22,0.85
2025-11-23,0.91
2025-11-24,0.93
2025-11-25,1.45
2025-11-26,1.06
2025-11-27,0.93
2025-11-28,0.9
2025-11-29,0.73
2025-11-30,1.29
2025-12-01,0.98
2025-12-02,0.98
2025-12-03,0.91
2025-12-04,1.3
2025-12-05,0.6
2025-12-06,0.9
2025-12-07,0.71
2025-12-08,0.63
2025-12-09,0.65
2025-12-10,0.64
2025-12-11,0.58
2025-12-12,0.49
2025-12-13,0.94
2025-12-14,0.8
2025-12-15,0.51
2025-12-16,0.88
2025-12-17,0.79
