date,mean
2025-10-28,1.46
2025-10-29,1.43
2025-10-30,1.42
2025-10-31,0.92
2025-11-01,1.1
2025-11-02,1.44
2025-11-03,1.5
2025-11-04,2.45
2025-11-05,2
2025-11-06,1.32
2025-11-07,1.32
2025-11-08,1.19
2025-11-09,1.32
2025-11-10,1.01
2025-11-11,1.68
2025-11-12,1.51
2025-11-13,1.51
2025-11-14,1.02
2025-11-15,0.95
2025-11-16,0.95
2025-11-17,0.96
2025-11-18,1.09
2025-11-19,0.97
2025-11-20,1.1
2025-11-21,1.12
2025-11-22,0.96
2025-11-23,0.8
2025-11-24,1.05
2025-11-25,1.02
2025-11-26,0.88
2025-11-27,0.87
2025-11-28,0.79
