date,mean
2025-10-28,0.85
2025-10-29,1.18
2025-10-30,1.51
2025-10-31,1.1
2025-11-01,0.89
2025-11-02,2.58
2025-11-03,2.54
2025-11-04,2.46
2025-11-05,1.71
2025-11-06,1.52
2025-11-07,1.52
2025-11-08,1.59
2025-11-09,1.66
2025-11-10,0.98
2025-11-11,0.84
2025-11-12,0.87
2025-11-13,0.87
2025-11-14,1.41
2025-11-15,1.1
2025-11-16,1.1
2025-11-17,1.55
2025-11-18,1.67
2025-11-19,1.16
2025-11-20,1.31
2025-11-21,1.92
2025-11-22,2.82
2025-11-23,2.23
2025-11-24,0.63
2025-11-25,1.62
2025-11-26,1.96
2025-11-27,2.15
2025-11-28,1.63
2025-11-29,0.85
2025-11-30,1.39
2025-12-01,1.61
2025-12-02,1.61
2025-12-03,1
2025-12-04,0.52
2025-12-05,0.53
2025-12-06,0.76
2025-12-07,1.01
2025-12-08,0.76
2025-12-09,1.08
2025-12-10,0.96
2025-12-11,0.79
2025-12-12,0.61
2025-12-13,1.62
2025-12-14,1.37
2025-12-15,0.72
2025-12-16,0.77
2025-12-17,1
2025-12-18,0.72
2025-12-19,1.04
2025-12-20,0.62
2025-12-21,1.06
2025-12-22,0.91
2025-12-23,1.02
2025-12-24,0.93
2025-12-25,0.84
2025-12-26,1.08
2025-12-27,0.89
2025-12-28,1.11
2025-12-29,0.89
2025-12-30,0.92
2025-12-31,1.09
2026-01-01,1.01
2026-01-02,1.71
2026-01-03,1.12
2026-01-04,1.33
2026-01-05,1.6
2026-01-06,1.21
2026-01-07,0.83
2026-01-08,0.74
2026-01-09,1.01
2026-01-10,0.89
2026-01-11,0.81
2026-01-12,1.08
2026-01-13,1.19
2026-01-14,0.98
2026-01-15,1.03
2026-01-16,0.79
2026-01-17,1.05
2026-01-18,1.22
2026-01-19,1.39
2026-01-20,1.05
2026-01-21,1
2026-01-22,1.41
2026-01-23,1.75
2026-01-24,1.52
2026-01-25,1.36
2026-01-26,1.06
2026-01-27,1.7
2026-01-28,1.46
2026-01-29,0.7
2026-01-30,1.08
2026-01-31,1.56
2026-02-01,0.79
2026-02-02,1.88
2026-02-03,1.46
2026-02-04,0.76
2026-02-05,1.74
2026-02-06,1.61
2026-02-07,1.49
2026-02-08,1.48
2026-02-09,0.67
2026-02-10,0.69
