date,mean
2025-10-28,1.68
2025-10-29,2.28
2025-10-30,1.87
2025-10-31,2.44
2025-11-01,2.2
2025-11-02,2.46
2025-11-03,2.17
2025-11-04,2.09
2025-11-05,2.73
2025-11-06,2.37
2025-11-07,2.37
2025-11-08,2.57
2025-11-09,1.78
2025-11-10,1.84
2025-11-11,1.89
2025-11-12,2.15
2025-11-13,2.15
2025-11-14,1.85
2025-11-15,1.39
2025-11-16,1.39
2025-11-17,2.22
2025-11-18,1.84
2025-11-19,1.87
2025-11-20,2.16
2025-11-21,2.4
2025-11-22,2.91
2025-11-23,1.76
2025-11-24,1.47
2025-11-25,2.48
2025-11-26,2.02
2025-11-27,2.31
2025-11-28,1.81
2025-11-29,1.36
2025-11-30,1.95
2025-12-01,1.54
2025-12-02,1.54
2025-12-03,1.88
2025-12-04,1.56
2025-12-05,1.08
2025-12-06,1
2025-12-07,1.09
2025-12-08,1.25
2025-12-09,1.11
2025-12-10,1.26
2025-12-11,1.12
2025-12-12,0.91
2025-12-13,2.43
2025-12-14,2.05
2025-12-15,1
2025-12-16,1.92
2025-12-17,1.67
2025-12-18,1.14
2025-12-19,1.25
2025-12-20,1.31
2025-12-21,1.34
2025-12-22,1.33
2025-12-23,1.26
2025-12-24,1.24
2025-12-25,1.4
2025-12-26,1.32
2025-12-27,1.24
2025-12-28,1.16
2025-12-29,1.03
2025-12-30,0.86
2025-12-31,1.3
2026-01-01,1.21
2026-01-02,1.93
2026-01-03,1.15
2026-01-04,1.95
2026-01-05,2.04
2026-01-06,2.08
2026-01-07,1.02
2026-01-08,0.95
2026-01-09,1.25
2026-01-10,1.2
2026-01-11,1.07
2026-01-12,1.22
2026-01-13,1.49
2026-01-14,1.22
2026-01-15,1.19
2026-01-16,1.03
