date,mean
2025-10-28,1.13
2025-10-29,1.17
2025-10-30,1.28
2025-10-31,0.67
2025-11-01,0.83
2025-11-02,1.71
2025-11-03,1.6
2025-11-04,1.76
2025-11-05,1.14
2025-11-06,0.79
2025-11-07,0.79
2025-11-08,1.44
2025-11-09,1.08
2025-11-10,0.78
2025-11-11,1.02
2025-11-12,1.19
2025-11-13,1.19
2025-11-14,0.66
2025-11-15,0.56
2025-11-16,0.56
2025-11-17,0.86
2025-11-18,1.12
2025-11-19,0.82
2025-11-20,1.14
2025-11-21,1.34
2025-11-22,0.86
2025-11-23,0.53
2025-11-24,0.57
2025-11-25,1.09
2025-11-26,0.9
2025-11-27,0.93
2025-11-28,1.12
2025-11-29,0.76
2025-11-30,0.92
2025-12-01,1
2025-12-02,1
