date,mean
2025-10-28,1.5
2025-10-29,1.26
2025-10-30,1.16
2025-10-31,0.63
2025-11-01,0.82
2025-11-02,1.49
2025-11-03,1.7
2025-11-04,2.01
2025-11-05,1.25
2025-11-06,1.14
2025-11-07,1.14
2025-11-08,1.32
2025-11-09,1.2
2025-11-10,0.78
2025-11-11,1.09
2025-11-12,1.47
2025-11-13,1.47
2025-11-14,0.63
2025-11-15,0.49
2025-11-16,0.49
2025-11-17,0.9
2025-11-18,1.15
2025-11-19,0.93
2025-11-20,1.13
2025-11-21,1.31
2025-11-22,0.92
2025-11-23,1.04
2025-11-24,0.71
2025-11-25,1.17
2025-11-26,1.01
2025-11-27,1.09
2025-11-28,0.93
2025-11-29,0.76
2025-11-30,1.17
2025-12-01,0.98
2025-12-02,0.98
2025-12-03,0.83
2025-12-04,1.12
2025-12-05,0.53
2025-12-06,0.69
2025-12-07,0.64
2025-12-08,0.66
2025-12-09,0.67
2025-12-10,0.62
2025-12-11,0.55
2025-12-12,0.43
2025-12-13,0.66
2025-12-14,0.52
2025-12-15,0.45
2025-12-16,0.6
2025-12-17,0.68
2025-12-18,0.67
2025-12-19,0.44
2025-12-20,0.7
2025-12-21,0.54
2025-12-22,0.57
2025-12-23,0.61
2025-12-24,0.78
2025-12-25,0.89
2025-12-26,0.58
2025-12-27,0.93
2025-12-28,0.8
2025-12-29,0.56
2025-12-30,0.65
2025-12-31,0.67
2026-01-01,0.59
2026-01-02,0.56
2026-01-03,0.56
2026-01-04,0.71
2026-01-05,1.15
2026-01-06,1.01
2026-01-07,0.72
2026-01-08,0.53
2026-01-09,1.03
2026-01-10,0.85
2026-01-11,0.53
2026-01-12,0.59
2026-01-13,0.5
2026-01-14,0.55
2026-01-15,0.44
2026-01-16,0.5
2026-01-17,0.59
2026-01-18,0.73
2026-01-19,0.96
2026-01-20,0.88
2026-01-21,0.99
2026-01-22,0.81
2026-01-23,0.75
2026-01-24,0.73
2026-01-25,1.7
2026-01-26,0.81
2026-01-27,0.99
2026-01-28,1.31
2026-01-29,1.5
2026-01-30,1.32
2026-01-31,1.3
2026-02-01,0.61
2026-02-02,0.98
2026-02-03,0.62
2026-02-04,0.75
2026-02-05,1.09
2026-02-06,0.97
2026-02-07,0.73
2026-02-08,1.19
2026-02-09,0.62
2026-02-10,1.02
2026-02-11,1.2
2026-02-12,1.41
2026-02-13,1.42
2026-02-14,2.04
2026-02-15,1.03
2026-02-16,1.21
2026-02-17,1.4
2026-02-18,1.06
2026-02-19,1.57
2026-02-20,1.97
2026-02-21,2.06
2026-02-22,2.31
2026-02-23,2.62
2026-02-24,2.99
2026-02-25,3.01
2026-02-26,2.58
2026-02-27,1.53
2026-02-28,2.06
2026-03-01,2.13
2026-03-02,1.23
2026-03-03,1.88
2026-03-04,1.82
2026-03-05,1.45
2026-03-06,1.72
2026-03-07,1.81
2026-03-08,1.86
2026-03-09,1.14
2026-03-10,1.58
2026-03-11,2.2
2026-03-12,2.47
2026-03-13,2.47
2026-03-14,1.55
2026-03-15,2.93
2026-03-16,3.33
2026-03-17,3.83
2026-03-18,2.1
2026-03-19,2.91
2026-03-20,1.05
2026-03-21,1.31
2026-03-22,2.29
2026-03-23,3.23
2026-03-24,3.1
2026-03-25,3.71
2026-03-26,4.12
2026-03-27,4.12
2026-03-28,3.57
2026-03-29,3.68
2026-03-30,3.96
2026-03-31,4.41
2026-04-01,4.19
2026-04-02,3.98
2026-04-03,4.16
2026-04-04,4.14
2026-04-05,4.16
2026-04-06,4.66
2026-04-07,1.69
2026-04-08,0.97
2026-04-09,3.97
2026-04-10,4.68
2026-04-11,3.5
2026-04-12,3.65
2026-04-13,1.57
2026-04-14,2.17
2026-04-15,3.76
2026-04-16,4.24
2026-04-17,4.51
2026-04-18,4.42
2026-04-19,4.49
2026-04-20,4.21
2026-04-21,3.82
