date,mean
2025-10-28,1.4
2025-10-29,1.42
2025-10-30,1.26
2025-10-31,0.81
2025-11-01,0.9
2025-11-02,1.43
2025-11-03,1.85
2025-11-04,1.88
2025-11-05,1.55
2025-11-06,1.07
2025-11-07,1.07
2025-11-08,1.27
2025-11-09,1.32
2025-11-10,0.84
2025-11-11,1.25
2025-11-12,1.19
2025-11-13,1.19
2025-11-14,0.78
2025-11-15,0.73
2025-11-16,0.73
2025-11-17,0.87
2025-11-18,1.21
2025-11-19,0.86
2025-11-20,1.05
2025-11-21,1.31
2025-11-22,1.25
2025-11-23,0.79
2025-11-24,0.8
2025-11-25,1.04
2025-11-26,0.94
2025-11-27,1.13
2025-11-28,0.9
2025-11-29,0.77
2025-11-30,1.02
2025-12-01,1.2
2025-12-02,1.2
2025-12-03,0.73
2025-12-04,0.91
2025-12-05,0.48
2025-12-06,0.81
2025-12-07,0.86
2025-12-08,0.82
2025-12-09,0.78
2025-12-10,0.69
2025-12-11,0.74
2025-12-12,0.49
2025-12-13,1.07
2025-12-14,1.14
2025-12-15,0.6
2025-12-16,0.91
2025-12-17,0.72
2025-12-18,0.85
2025-12-19,0.81
2025-12-20,0.63
2025-12-21,0.47
2025-12-22,0.57
2025-12-23,0.68
2025-12-24,0.68
2025-12-25,0.76
2025-12-26,0.75
2025-12-27,1.26
2025-12-28,0.94
2025-12-29,0.86
2025-12-30,0.77
2025-12-31,0.9
2026-01-01,0.8
2026-01-02,0.84
2026-01-03,0.73
2026-01-04,0.92
2026-01-05,1.15
2026-01-06,0.99
2026-01-07,0.66
2026-01-08,0.48
2026-01-09,0.85
2026-01-10,0.65
2026-01-11,0.55
