date,mean
2025-10-28,1.44
2025-10-29,1.45
2025-10-30,1.43
2025-10-31,0.96
2025-11-01,1.03
2025-11-02,1.45
2025-11-03,1.66
2025-11-04,2.19
2025-11-05,1.85
2025-11-06,1.25
2025-11-07,1.25
2025-11-08,1.25
2025-11-09,1.31
2025-11-10,0.97
2025-11-11,1.61
2025-11-12,1.41
2025-11-13,1.41
2025-11-14,0.98
2025-11-15,0.92
2025-11-16,0.92
2025-11-17,0.92
2025-11-18,1.14
2025-11-19,0.93
2025-11-20,1.09
2025-11-21,1.21
2025-11-22,1.08
2025-11-23,0.82
2025-11-24,0.9
2025-11-25,1.09
2025-11-26,0.94
2025-11-27,0.99
2025-11-28,0.84
2025-11-29,0.83
2025-11-30,1.09
2025-12-01,1.14
2025-12-02,1.14
2025-12-03,0.73
2025-12-04,0.92
2025-12-05,0.56
