date,mean
2025-10-28,1.29
2025-10-29,1.52
2025-10-30,1.44
2025-10-31,1.14
2025-11-01,1.08
2025-11-02,1.42
2025-11-03,1.42
2025-11-04,1.8
2025-11-05,1.78
2025-11-06,1.29
2025-11-07,1.29
2025-11-08,1.23
2025-11-09,1.13
2025-11-10,0.98
2025-11-11,1.75
2025-11-12,1.34
2025-11-13,1.34
2025-11-14,1.06
2025-11-15,1.08
2025-11-16,1.08
2025-11-17,0.87
2025-11-18,1.08
2025-11-19,1.05
2025-11-20,1.22
2025-11-21,1.21
2025-11-22,0.92
2025-11-23,0.81
2025-11-24,1
2025-11-25,1.21
2025-11-26,0.89
2025-11-27,0.88
2025-11-28,0.83
2025-11-29,0.83
2025-11-30,1.23
2025-12-01,0.93
2025-12-02,0.93
2025-12-03,0.79
2025-12-04,0.93
2025-12-05,0.73
2025-12-06,0.88
2025-12-07,0.91
2025-12-08,1.1
2025-12-09,0.84
2025-12-10,0.78
2025-12-11,0.79
2025-12-12,0.57
2025-12-13,1.12
2025-12-14,1.11
2025-12-15,0.58
2025-12-16,1.28
2025-12-17,0.69
2025-12-18,0.87
2025-12-19,1
2025-12-20,0.62
2025-12-21,0.64
2025-12-22,0.61
2025-12-23,0.71
2025-12-24,0.66
2025-12-25,0.62
2025-12-26,0.61
2025-12-27,1.1
2025-12-28,1.01
2025-12-29,0.75
2025-12-30,0.7
2025-12-31,0.79
2026-01-01,0.93
2026-01-02,1.12
2026-01-03,0.82
2026-01-04,1.01
2026-01-05,1.21
2026-01-06,1.12
2026-01-07,0.83
2026-01-08,0.58
2026-01-09,0.99
2026-01-10,0.66
2026-01-11,0.66
2026-01-12,1.07
2026-01-13,0.92
2026-01-14,0.71
2026-01-15,0.71
2026-01-16,0.66
2026-01-17,0.71
2026-01-18,0.86
2026-01-19,0.83
2026-01-20,0.7
2026-01-21,1.17
2026-01-22,1.09
2026-01-23,1.16
2026-01-24,1.14
2026-01-25,0.91
2026-01-26,1.1
2026-01-27,1.44
2026-01-28,1.57
2026-01-29,0.99
2026-01-30,1.45
2026-01-31,1.42
2026-02-01,0.73
2026-02-02,1.49
2026-02-03,1.19
2026-02-04,0.78
2026-02-05,1.62
2026-02-06,1.26
2026-02-07,1.62
2026-02-08,1.47
2026-02-09,0.69
2026-02-10,0.75
2026-02-11,0.8
2026-02-12,1.36
2026-02-13,1.75
2026-02-14,2.06
2026-02-15,1.16
2026-02-16,1.06
2026-02-17,1.16
2026-02-18,1.17
2026-02-19,1.77
2026-02-20,1.88
2026-02-21,1.96
2026-02-22,2.18
2026-02-23,2.33
2026-02-24,2.1
2026-02-25,2.11
2026-02-26,2.11
2026-02-27,1.29
2026-02-28,2.34
2026-03-01,2.2
2026-03-02,1.34
2026-03-03,2.5
2026-03-04,2.24
2026-03-05,1.59
2026-03-06,2.17
2026-03-07,2.29
2026-03-08,1.75
2026-03-09,1.7
2026-03-10,2.07
2026-03-11,2.57
2026-03-12,2.42
2026-03-13,1.73
2026-03-14,1.1
2026-03-15,2.76
2026-03-16,3.09
2026-03-17,3.59
2026-03-18,2.7
2026-03-19,1.83
2026-03-20,1.61
2026-03-21,2.23
2026-03-22,2.64
2026-03-23,3.1
2026-03-24,3.35
2026-03-25,3.1
2026-03-26,3.69
2026-03-27,3.76
2026-03-28,3.74
2026-03-29,3.73
2026-03-30,3.54
2026-03-31,4.11
2026-04-01,4.09
2026-04-02,3.67
2026-04-03,3.7
2026-04-04,4.12
2026-04-05,3.98
2026-04-06,3.69
2026-04-07,1.88
2026-04-08,3.32
2026-04-09,3.53
2026-04-10,4.71
2026-04-11,2.88
2026-04-12,3.62
2026-04-13,2.47
2026-04-14,2.47
2026-04-15,3.1
2026-04-16,4
2026-04-17,4.03
2026-04-18,4.29
2026-04-19,4.2
2026-04-20,4.1
2026-04-21,4.58
