date,mean
2025-10-28,0.94
2025-10-29,1.4
2025-10-30,1.66
2025-10-31,1.1
2025-11-01,1.2
2025-11-02,1.37
2025-11-03,1.34
2025-11-04,1.65
2025-11-05,2.34
2025-11-06,1.52
2025-11-07,1.52
2025-11-08,1.34
2025-11-09,1.2
2025-11-10,1.33
2025-11-11,1.79
2025-11-12,1.28
2025-11-13,1.28
2025-11-14,1.23
2025-11-15,1.34
2025-11-16,1.34
2025-11-17,1.02
2025-11-18,1.3
2025-11-19,1.39
2025-11-20,1.57
2025-11-21,1.72
2025-11-22,1.18
2025-11-23,0.93
2025-11-24,1
2025-11-25,1.48
2025-11-26,1.15
2025-11-27,1.12
2025-11-28,0.93
2025-11-29,1.07
