date,mean
2025-10-28,1.23
2025-10-29,1.53
2025-10-30,1.63
2025-10-31,1.02
2025-11-01,1.39
2025-11-02,1.65
2025-11-03,1.47
2025-11-04,1.72
2025-11-05,2.24
2025-11-06,1.66
2025-11-07,1.66
2025-11-08,1.51
2025-11-09,1.3
2025-11-10,1.35
2025-11-11,1.57
2025-11-12,1.31
2025-11-13,1.31
2025-11-14,1.36
2025-11-15,1.39
2025-11-16,1.39
2025-11-17,1.22
2025-11-18,1.52
2025-11-19,1.46
2025-11-20,1.78
2025-11-21,2.09
2025-11-22,1.6
2025-11-23,0.99
2025-11-24,0.94
2025-11-25,1.58
2025-11-26,1.51
2025-11-27,1.45
2025-11-28,1.05
2025-11-29,1.05
2025-11-30,1.6
2025-12-01,1.31
2025-12-02,1.31
2025-12-03,1.23
2025-12-04,1.12
2025-12-05,0.74
2025-12-06,0.92
2025-12-07,0.86
2025-12-08,1.12
2025-12-09,0.72
2025-12-10,1.09
2025-12-11,0.81
2025-12-12,0.48
2025-12-13,1.36
2025-12-14,1.49
2025-12-15,0.8
2025-12-16,1.62
2025-12-17,1.14
2025-12-18,0.9
2025-12-19,1.21
2025-12-20,0.86
2025-12-21,0.95
2025-12-22,0.88
2025-12-23,0.86
2025-12-24,0.84
2025-12-25,0.86
2025-12-26,0.88
2025-12-27,0.99
2025-12-28,1.15
2025-12-29,0.83
2025-12-30,0.65
2025-12-31,0.84
2026-01-01,0.84
2026-01-02,1.2
2026-01-03,0.73
2026-01-04,1.42
2026-01-05,1.68
2026-01-06,1.62
2026-01-07,1.16
2026-01-08,0.74
2026-01-09,1.27
