date,mean
2025-10-28,1.13
2025-10-29,1.42
2025-10-30,1.66
2025-10-31,0.9
2025-11-01,1.4
2025-11-02,1.72
2025-11-03,1.47
2025-11-04,1.59
2025-11-05,2.21
2025-11-06,1.63
2025-11-07,1.63
2025-11-08,1.53
2025-11-09,1.32
2025-11-10,1.35
2025-11-11,1.56
2025-11-12,1.28
2025-11-13,1.28
2025-11-14,1.29
2025-11-15,1.37
2025-11-16,1.37
2025-11-17,1.23
2025-11-18,1.57
2025-11-19,1.46
2025-11-20,1.75
2025-11-21,2.17
2025-11-22,1.61
2025-11-23,0.99
2025-11-24,0.81
2025-11-25,1.58
2025-11-26,1.57
2025-11-27,1.49
2025-11-28,1.08
2025-11-29,1.07
2025-11-30,1.62
2025-12-01,1.27
2025-12-02,1.27
2025-12-03,1.25
2025-12-04,1.13
2025-12-05,0.68
2025-12-06,0.89
2025-12-07,0.84
2025-12-08,1.13
2025-12-09,0.69
2025-12-10,1.13
2025-12-11,0.78
2025-12-12,0.45
2025-12-13,1.39
2025-12-14,1.58
2025-12-15,0.8
