date,mean
2025-10-28,1.14
2025-10-29,1.46
2025-10-30,1.63
2025-10-31,1.02
2025-11-01,1.33
2025-11-02,1.61
2025-11-03,1.45
2025-11-04,1.7
2025-11-05,2.25
2025-11-06,1.63
2025-11-07,1.63
2025-11-08,1.49
2025-11-09,1.29
2025-11-10,1.32
2025-11-11,1.61
2025-11-12,1.3
2025-11-13,1.3
2025-11-14,1.32
2025-11-15,1.37
2025-11-16,1.37
2025-11-17,1.18
2025-11-18,1.47
2025-11-19,1.47
2025-11-20,1.74
2025-11-21,2.04
2025-11-22,1.53
2025-11-23,0.99
2025-11-24,0.94
2025-11-25,1.56
2025-11-26,1.47
2025-11-27,1.4
2025-11-28,1.04
2025-11-29,1.07
2025-11-30,1.58
2025-12-01,1.27
2025-12-02,1.27
2025-12-03,1.23
2025-12-04,1.13
2025-12-05,0.72
2025-12-06,0.98
2025-12-07,0.86
2025-12-08,1.11
2025-12-09,0.73
2025-12-10,1.05
2025-12-11,0.81
2025-12-12,0.47
2025-12-13,1.34
2025-12-14,1.46
2025-12-15,0.79
2025-12-16,1.6
2025-12-17,1.11
2025-12-18,0.91
2025-12-19,1.22
2025-12-20,0.87
2025-12-21,0.97
