date,mean
2025-10-28,1.76
2025-10-29,1.77
2025-10-30,1.48
2025-10-31,1.67
2025-11-01,1.23
2025-11-02,2.02
2025-11-03,2.09
2025-11-04,1.97
2025-11-05,1.86
2025-11-06,1.65
2025-11-07,1.65
2025-11-08,1.78
2025-11-09,1.38
2025-11-10,1.01
2025-11-11,1.53
2025-11-12,1.77
2025-11-13,1.77
2025-11-14,0.59
2025-11-15,0.59
2025-11-16,0.59
2025-11-17,0.98
2025-11-18,1.84
2025-11-19,1.12
2025-11-20,1.53
2025-11-21,1.65
2025-11-22,1.51
2025-11-23,1.28
2025-11-24,0.49
2025-11-25,1.52
2025-11-26,1.48
2025-11-27,1.23
2025-11-28,1.05
2025-11-29,0.82
2025-11-30,1.43
2025-12-01,1.09
2025-12-02,1.09
2025-12-03,0.94
2025-12-04,1.04
2025-12-05,0.52
2025-12-06,0.82
2025-12-07,0.77
2025-12-08,0.86
2025-12-09,0.83
2025-12-10,0.52
2025-12-11,0.58
2025-12-12,0.4
2025-12-13,1.27
2025-12-14,1.25
2025-12-15,0.58
2025-12-16,0.64
2025-12-17,0.98
2025-12-18,0.73
2025-12-19,0.46
2025-12-20,0.64
2025-12-21,0.53
2025-12-22,0.59
2025-12-23,0.47
2025-12-24,0.74
2025-12-25,1.03
2025-12-26,0.81
2025-12-27,1.12
2025-12-28,0.79
2025-12-29,0.7
2025-12-30,0.66
2025-12-31,0.79
2026-01-01,0.7
2026-01-02,1.16
2026-01-03,0.66
2026-01-04,0.98
2026-01-05,1.5
2026-01-06,1.42
2026-01-07,0.6
2026-01-08,0.45
2026-01-09,1.01
2026-01-10,0.87
2026-01-11,0.48
2026-01-12,0.57
2026-01-13,0.5
2026-01-14,0.6
2026-01-15,0.47
2026-01-16,0.51
2026-01-17,0.84
2026-01-18,1.01
2026-01-19,1.31
2026-01-20,0.91
2026-01-21,0.72
2026-01-22,0.61
2026-01-23,0.69
2026-01-24,0.88
2026-01-25,0.74
2026-01-26,0.59
2026-01-27,0.96
2026-01-28,1.68
2026-01-29,0.63
2026-01-30,1.19
2026-01-31,1.37
2026-02-01,0.6
2026-02-02,1.05
2026-02-03,0.8
2026-02-04,0.6
2026-02-05,1.43
2026-02-06,1.22
2026-02-07,1.19
2026-02-08,1.35
2026-02-09,0.67
