date,mean
2025-10-28,1.81
2025-10-29,1.89
2025-10-30,1.42
2025-10-31,1.25
2025-11-01,0.93
2025-11-02,2.02
2025-11-03,2.3
2025-11-04,2.23
2025-11-05,1.73
2025-11-06,1.51
2025-11-07,1.51
2025-11-08,1.74
2025-11-09,1.51
2025-11-10,0.98
2025-11-11,1.54
2025-11-12,1.6
2025-11-13,1.6
2025-11-14,0.54
2025-11-15,0.54
2025-11-16,0.54
2025-11-17,1.07
2025-11-18,2.08
2025-11-19,1.23
2025-11-20,1.68
2025-11-21,1.79
2025-11-22,1.72
2025-11-23,1.38
2025-11-24,0.44
2025-11-25,1.54
2025-11-26,1.62
2025-11-27,1.3
2025-11-28,1.08
2025-11-29,0.87
2025-11-30,1.48
2025-12-01,1.08
2025-12-02,1.08
2025-12-03,0.93
2025-12-04,1.07
2025-12-05,0.47
2025-12-06,0.77
2025-12-07,0.73
2025-12-08,0.79
2025-12-09,0.87
2025-12-10,0.48
2025-12-11,0.5
2025-12-12,0.38
2025-12-13,1.34
2025-12-14,1.34
2025-12-15,0.63
2025-12-16,0.63
2025-12-17,1.04
2025-12-18,0.7
2025-12-19,0.41
2025-12-20,0.59
2025-12-21,0.41
2025-12-22,0.56
2025-12-23,0.41
2025-12-24,0.81
2025-12-25,1.19
2025-12-26,0.88
2025-12-27,1.31
2025-12-28,0.84
2025-12-29,0.74
2025-12-30,0.65
2025-12-31,0.89
2026-01-01,0.84
2026-01-02,1.15
2026-01-03,0.74
2026-01-04,1.05
2026-01-05,1.65
2026-01-06,1.52
2026-01-07,0.68
2026-01-08,0.46
2026-01-09,0.98
2026-01-10,0.93
2026-01-11,0.48
2026-01-12,0.49
2026-01-13,0.45
2026-01-14,0.59
2026-01-15,0.45
2026-01-16,0.45
2026-01-17,0.74
2026-01-18,1
2026-01-19,1.34
2026-01-20,0.92
2026-01-21,0.54
2026-01-22,0.49
2026-01-23,0.47
2026-01-24,0.7
2026-01-25,0.62
2026-01-26,0.47
2026-01-27,0.7
2026-01-28,1.51
2026-01-29,0.52
2026-01-30,0.96
2026-01-31,1.3
2026-02-01,0.54
2026-02-02,0.75
2026-02-03,0.69
2026-02-04,0.46
2026-02-05,1.11
2026-02-06,0.93
2026-02-07,0.83
2026-02-08,1.24
2026-02-09,0.53
2026-02-10,0.51
2026-02-11,0.48
2026-02-12,1.59
2026-02-13,1.42
2026-02-14,2.4
2026-02-15,1.07
2026-02-16,0.73
2026-02-17,1.19
2026-02-18,0.64
2026-02-19,1.88
2026-02-20,2.51
2026-02-21,2.57
2026-02-22,2.65
2026-02-23,3.39
2026-02-24,3.35
2026-02-25,3.37
2026-02-26,3.26
2026-02-27,2.64
2026-02-28,2.46
2026-03-01,2.29
2026-03-02,1.67
2026-03-03,2.83
2026-03-04,2.5
2026-03-05,1.68
2026-03-06,2.07
2026-03-07,2.75
2026-03-08,2.41
2026-03-09,1.56
2026-03-10,1.9
2026-03-11,2.51
2026-03-12,2.76
2026-03-13,2.68
2026-03-14,1.34
2026-03-15,3.26
2026-03-16,3.44
2026-03-17,3.85
2026-03-18,2.42
2026-03-19,3.03
2026-03-20,1.67
2026-03-21,1.96
2026-03-22,2.86
2026-03-23,3.33
2026-03-24,3.42
2026-03-25,3.52
2026-03-26,4.56
2026-03-27,4.35
2026-03-28,4.42
2026-03-29,4.52
2026-03-30,4.58
2026-03-31,5.14
2026-04-01,4.89
2026-04-02,4.38
2026-04-03,4.4
2026-04-04,4.41
2026-04-05,4.41
2026-04-06,4.09
2026-04-07,2.36
2026-04-08,2.32
2026-04-09,4.29
2026-04-10,4.92
2026-04-11,3.68
2026-04-12,4.48
2026-04-13,2.66
2026-04-14,3.19
2026-04-15,4.17
2026-04-16,4.51
2026-04-17,4.72
2026-04-18,5.03
2026-04-19,4.84
2026-04-20,4.57
2026-04-21,3.9
2026-04-22,4
2026-04-23,4.32
2026-04-24,4.25
2026-04-25,4.21
2026-04-26,5.06
2026-04-27,5.26
2026-04-28,4.22
2026-04-29,2.06
2026-04-30,3.46
2026-05-01,4.06
2026-05-02,3.65
2026-05-03,3.42
