date,mean
2025-10-28,1.63
2025-10-29,1.75
2025-10-30,1.47
2025-10-31,1.7
2025-11-01,1.16
2025-11-02,1.92
2025-11-03,2
2025-11-04,1.9
2025-11-05,1.77
2025-11-06,1.56
2025-11-07,1.56
2025-11-08,1.67
2025-11-09,1.33
2025-11-10,1.01
2025-11-11,1.5
2025-11-12,1.65
2025-11-13,1.65
2025-11-14,0.57
2025-11-15,0.58
2025-11-16,0.58
2025-11-17,0.88
2025-11-18,1.65
2025-11-19,1.04
2025-11-20,1.38
2025-11-21,1.51
2025-11-22,1.35
2025-11-23,1.19
2025-11-24,0.49
2025-11-25,1.42
2025-11-26,1.35
2025-11-27,1.14
2025-11-28,1.01
2025-11-29,0.77
2025-11-30,1.37
2025-12-01,1.04
2025-12-02,1.04
2025-12-03,0.9
2025-12-04,0.96
2025-12-05,0.53
2025-12-06,0.81
2025-12-07,0.79
2025-12-08,0.88
2025-12-09,0.79
2025-12-10,0.52
2025-12-11,0.61
2025-12-12,0.4
2025-12-13,1.18
2025-12-14,1.13
2025-12-15,0.53
2025-12-16,0.58
