date,mean
2025-10-28,1.52
2025-10-29,1.7
2025-10-30,1.52
2025-10-31,1.94
2025-11-01,1.18
2025-11-02,1.81
2025-11-03,1.87
2025-11-04,1.77
2025-11-05,1.88
2025-11-06,1.53
2025-11-07,1.53
2025-11-08,1.53
2025-11-09,1.21
2025-11-10,1
2025-11-11,1.44
2025-11-12,1.67
2025-11-13,1.67
2025-11-14,0.7
2025-11-15,0.67
2025-11-16,0.67
2025-11-17,0.85
2025-11-18,1.47
2025-11-19,0.93
2025-11-20,1.24
2025-11-21,1.37
2025-11-22,1.17
2025-11-23,1.06
2025-11-24,0.6
2025-11-25,1.41
2025-11-26,1.22
2025-11-27,1.06
2025-11-28,0.92
2025-11-29,0.75
