date,mean
2025-10-28,1.01
2025-10-29,0.99
2025-10-30,0.97
2025-10-31,0.76
2025-11-01,0.99
2025-11-02,0.96
2025-11-03,1.14
2025-11-04,1.34
2025-11-05,1.31
2025-11-06,1.08
2025-11-07,1.08
2025-11-08,0.97
2025-11-09,0.93
2025-11-10,0.78
2025-11-11,1.35
2025-11-12,1.31
2025-11-13,1.31
2025-11-14,0.71
2025-11-15,0.66
2025-11-16,0.66
2025-11-17,0.87
2025-11-18,0.8
2025-11-19,0.95
2025-11-20,1.01
2025-11-21,0.92
2025-11-22,0.63
2025-11-23,0.55
2025-11-24,0.86
2025-11-25,0.76
2025-11-26,0.68
2025-11-27,0.61
2025-11-28,0.53
2025-11-29,0.54
