date,mean
2025-10-28,1.57
2025-10-29,1.07
2025-10-30,1.17
2025-10-31,0.87
2025-11-01,1.02
2025-11-02,1.11
2025-11-03,1.49
2025-11-04,2.17
2025-11-05,1.81
2025-11-06,1.42
2025-11-07,1.42
2025-11-08,1.15
2025-11-09,1.28
2025-11-10,0.89
2025-11-11,1.59
2025-11-12,1.32
2025-11-13,1.32
2025-11-14,0.8
2025-11-15,0.83
2025-11-16,0.83
2025-11-17,1.08
2025-11-18,1.1
2025-11-19,1.32
2025-11-20,1.38
2025-11-21,1.2
2025-11-22,0.98
2025-11-23,0.71
2025-11-24,0.94
2025-11-25,0.97
2025-11-26,0.98
2025-11-27,0.91
2025-11-28,0.77
2025-11-29,0.63
2025-11-30,1.15
2025-12-01,1.19
2025-12-02,1.19
2025-12-03,0.65
