date,mean
2025-10-28,1.21
2025-10-29,0.87
2025-10-30,0.89
2025-10-31,0.7
2025-11-01,0.86
2025-11-02,0.94
2025-11-03,1.13
2025-11-04,1.45
2025-11-05,1.38
2025-11-06,1.13
2025-11-07,1.13
2025-11-08,0.94
2025-11-09,0.96
2025-11-10,0.69
2025-11-11,1.17
2025-11-12,0.98
2025-11-13,0.98
2025-11-14,0.56
2025-11-15,0.58
2025-11-16,0.58
2025-11-17,0.87
2025-11-18,0.9
2025-11-19,1.03
2025-11-20,1.07
2025-11-21,0.96
2025-11-22,0.76
2025-11-23,0.58
2025-11-24,0.72
2025-11-25,0.79
2025-11-26,0.83
2025-11-27,0.78
2025-11-28,0.66
2025-11-29,0.49
2025-11-30,0.92
2025-12-01,0.89
2025-12-02,0.89
2025-12-03,0.47
2025-12-04,0.8
2025-12-05,0.48
2025-12-06,0.47
2025-12-07,0.65
2025-12-08,0.92
2025-12-09,0.85
2025-12-10,0.64
2025-12-11,0.5
2025-12-12,0.45
2025-12-13,1.02
2025-12-14,0.9
2025-12-15,0.49
2025-12-16,0.87
2025-12-17,0.62
2025-12-18,0.81
2025-12-19,0.68
2025-12-20,0.54
2025-12-21,0.4
2025-12-22,0.69
2025-12-23,0.87
2025-12-24,0.99
2025-12-25,0.82
2025-12-26,1.02
2025-12-27,1.6
2025-12-28,1.2
2025-12-29,0.73
2025-12-30,0.68
2025-12-31,0.85
2026-01-01,0.79
2026-01-02,1.48
2026-01-03,1.63
2026-01-04,1.35
2026-01-05,1.41
2026-01-06,1.1
2026-01-07,0.86
2026-01-08,0.57
2026-01-09,1.2
2026-01-10,0.86
2026-01-11,0.8
2026-01-12,1.2
2026-01-13,1.08
2026-01-14,0.81
2026-01-15,0.77
2026-01-16,0.55
2026-01-17,0.73
2026-01-18,0.8
2026-01-19,0.63
2026-01-20,0.7
2026-01-21,1.3
2026-01-22,1.3
2026-01-23,1.42
2026-01-24,1.15
2026-01-25,1.14
2026-01-26,0.61
2026-01-27,1.25
2026-01-28,1.11
