date,mean
2025-10-28,1.54
2025-10-29,1.14
2025-10-30,1.24
2025-10-31,0.91
2025-11-01,1.09
2025-11-02,1.13
2025-11-03,1.52
2025-11-04,2.22
2025-11-05,1.84
2025-11-06,1.45
2025-11-07,1.45
2025-11-08,1.17
2025-11-09,1.3
2025-11-10,0.93
2025-11-11,1.68
2025-11-12,1.44
2025-11-13,1.44
2025-11-14,0.86
2025-11-15,0.89
2025-11-16,0.89
2025-11-17,1.11
2025-11-18,1.1
2025-11-19,1.29
2025-11-20,1.38
2025-11-21,1.18
2025-11-22,0.96
2025-11-23,0.72
2025-11-24,1.01
2025-11-25,0.95
2025-11-26,0.95
2025-11-27,0.88
2025-11-28,0.76
2025-11-29,0.66
2025-11-30,1.14
2025-12-01,1.19
2025-12-02,1.19
2025-12-03,0.67
2025-12-04,0.94
2025-12-05,0.64
2025-12-06,0.65
2025-12-07,0.95
2025-12-08,1.38
2025-12-09,1.14
2025-12-10,0.8
2025-12-11,0.69
2025-12-12,0.66
2025-12-13,1.18
