date,mean
2025-10-28,1.37
2025-10-29,1.56
2025-10-30,1.63
2025-10-31,1.61
2025-11-01,1.28
2025-11-02,1.66
2025-11-03,1.68
2025-11-04,1.58
2025-11-05,1.97
2025-11-06,1.49
2025-11-07,1.49
2025-11-08,1.4
2025-11-09,1.18
2025-11-10,1.12
2025-11-11,1.44
2025-11-12,1.37
2025-11-13,1.37
2025-11-14,0.96
2025-11-15,1.02
2025-11-16,1.02
2025-11-17,0.94
2025-11-18,1.39
2025-11-19,1.14
2025-11-20,1.36
2025-11-21,1.61
2025-11-22,1.23
2025-11-23,0.96
2025-11-24,0.86
2025-11-25,1.53
2025-11-26,1.19
2025-11-27,1.19
2025-11-28,0.93
2025-11-29,0.89
2025-11-30,1.42
2025-12-01,1.1
2025-12-02,1.1
2025-12-03,0.97
2025-12-04,1.08
2025-12-05,0.79
2025-12-06,1.06
2025-12-07,0.94
2025-12-08,1.02
2025-12-09,0.76
2025-12-10,0.83
2025-12-11,0.81
2025-12-12,0.5
2025-12-13,1.23
2025-12-14,1.25
2025-12-15,0.57
2025-12-16,1.26
2025-12-17,0.92
2025-12-18,0.82
2025-12-19,1.05
2025-12-20,0.79
2025-12-21,0.78
2025-12-22,0.75
2025-12-23,0.75
2025-12-24,0.75
2025-12-25,0.73
2025-12-26,0.73
2025-12-27,1
2025-12-28,1.01
2025-12-29,0.74
2025-12-30,0.66
2025-12-31,0.8
2026-01-01,0.65
2026-01-02,1.11
2026-01-03,0.68
2026-01-04,1.11
2026-01-05,1.37
2026-01-06,1.32
2026-01-07,0.72
2026-01-08,0.62
2026-01-09,1.12
2026-01-10,0.74
2026-01-11,0.61
2026-01-12,0.94
2026-01-13,0.86
2026-01-14,0.79
2026-01-15,0.72
2026-01-16,0.62
2026-01-17,0.86
2026-01-18,0.9
2026-01-19,1.13
2026-01-20,0.82
2026-01-21,1.04
2026-01-22,0.88
2026-01-23,0.84
2026-01-24,1.08
2026-01-25,0.77
2026-01-26,0.92
2026-01-27,1.34
2026-01-28,1.62
2026-01-29,0.66
2026-01-30,1.22
2026-01-31,1.41
2026-02-01,0.62
2026-02-02,1.34
2026-02-03,1.11
2026-02-04,0.65
2026-02-05,1.58
2026-02-06,1.39
2026-02-07,1.44
2026-02-08,1.41
2026-02-09,0.61
2026-02-10,0.59
