date,mean
2025-10-28,1.4
2025-10-29,1.47
2025-10-30,1.44
2025-10-31,1.05
2025-11-01,1.03
2025-11-02,1.46
2025-11-03,1.65
2025-11-04,1.97
2025-11-05,1.81
2025-11-06,1.25
2025-11-07,1.25
2025-11-08,1.27
2025-11-09,1.26
2025-11-10,0.95
2025-11-11,1.58
2025-11-12,1.34
2025-11-13,1.34
2025-11-14,0.98
2025-11-15,0.94
2025-11-16,0.94
2025-11-17,0.9
2025-11-18,1.16
2025-11-19,0.96
2025-11-20,1.15
2025-11-21,1.26
2025-11-22,1.08
2025-11-23,0.83
2025-11-24,0.89
2025-11-25,1.17
2025-11-26,0.95
2025-11-27,1
2025-11-28,0.86
2025-11-29,0.83
2025-11-30,1.17
2025-12-01,1.1
2025-12-02,1.1
2025-12-03,0.77
2025-12-04,0.95
2025-12-05,0.6
2025-12-06,0.93
2025-12-07,0.93
2025-12-08,1.02
2025-12-09,0.85
2025-12-10,0.73
2025-12-11,0.76
2025-12-12,0.54
2025-12-13,1.09
2025-12-14,1.15
2025-12-15,0.58
