date,mean
2025-10-28,1.71
2025-10-29,1.58
2025-10-30,1.85
2025-10-31,1.39
2025-11-01,1.48
2025-11-02,1.85
2025-11-03,1.49
2025-11-04,1.8
2025-11-05,2.39
2025-11-06,1.77
2025-11-07,1.77
2025-11-08,1.6
2025-11-09,1.3
2025-11-10,1.47
2025-11-11,1.63
2025-11-12,1.66
2025-11-13,1.66
2025-11-14,1.35
2025-11-15,1.43
2025-11-16,1.43
2025-11-17,1.26
2025-11-18,1.5
2025-11-19,1.55
2025-11-20,2
2025-11-21,2.49
2025-11-22,1.45
2025-11-23,1.02
2025-11-24,1.06
2025-11-25,1.89
2025-11-26,1.43
2025-11-27,1.42
2025-11-28,1.01
2025-11-29,1.09
2025-11-30,1.77
2025-12-01,1.17
2025-12-02,1.17
2025-12-03,1.36
2025-12-04,1.18
2025-12-05,0.95
2025-12-06,0.95
2025-12-07,0.95
2025-12-08,1.19
2025-12-09,0.91
2025-12-10,1.03
2025-12-11,0.92
2025-12-12,0.53
2025-12-13,1.34
2025-12-14,1.39
2025-12-15,0.8
2025-12-16,1.64
2025-12-17,1.14
2025-12-18,0.91
2025-12-19,1.33
2025-12-20,0.92
2025-12-21,1.03
2025-12-22,0.92
2025-12-23,0.89
2025-12-24,0.91
2025-12-25,0.76
2025-12-26,0.85
2025-12-27,1.11
2025-12-28,1.18
2025-12-29,0.76
2025-12-30,0.52
2025-12-31,0.62
2026-01-01,0.85
2026-01-02,1.25
2026-01-03,0.85
2026-01-04,1.37
2026-01-05,1.96
2026-01-06,1.8
2026-01-07,1.06
2026-01-08,0.72
2026-01-09,1.27
2026-01-10,0.88
2026-01-11,0.78
2026-01-12,1.26
2026-01-13,1.13
2026-01-14,0.93
2026-01-15,1.01
2026-01-16,0.78
2026-01-17,1.06
2026-01-18,1.06
2026-01-19,1.16
2026-01-20,1.02
2026-01-21,1.33
2026-01-22,1.29
2026-01-23,1.3
2026-01-24,1.28
2026-01-25,1.08
2026-01-26,1.15
2026-01-27,1.74
2026-01-28,1.51
2026-01-29,0.94
2026-01-30,1.47
2026-01-31,1.54
2026-02-01,0.74
2026-02-02,1.76
