date,mean
2025-10-28,1.31
2025-10-29,1.48
2025-10-30,1.59
2025-10-31,1.17
2025-11-01,1.21
2025-11-02,1.58
2025-11-03,1.65
2025-11-04,1.38
2025-11-05,1.7
2025-11-06,1.34
2025-11-07,1.34
2025-11-08,1.37
2025-11-09,1.17
2025-11-10,1.18
2025-11-11,1.42
2025-11-12,1.15
2025-11-13,1.15
2025-11-14,0.91
2025-11-15,1
2025-11-16,1
2025-11-17,0.88
2025-11-18,1.29
2025-11-19,1.21
2025-11-20,1.41
2025-11-21,1.66
2025-11-22,1.21
2025-11-23,0.91
2025-11-24,0.81
2025-11-25,1.47
2025-11-26,1.22
2025-11-27,1.19
2025-11-28,0.92
2025-11-29,0.87
2025-11-30,1.3
2025-12-01,1.08
2025-12-02,1.08
2025-12-03,1
2025-12-04,0.93
2025-12-05,0.72
2025-12-06,0.77
2025-12-07,0.95
2025-12-08,0.91
2025-12-09,0.62
2025-12-10,0.83
2025-12-11,0.74
2025-12-12,0.48
2025-12-13,1.1
2025-12-14,1.1
2025-12-15,0.56
2025-12-16,1.09
2025-12-17,0.87
2025-12-18,0.68
2025-12-19,1.03
2025-12-20,0.66
2025-12-21,0.73
2025-12-22,0.7
2025-12-23,0.66
2025-12-24,0.72
2025-12-25,0.67
2025-12-26,0.73
2025-12-27,0.87
2025-12-28,0.9
2025-12-29,0.68
2025-12-30,0.64
2025-12-31,0.77
2026-01-01,0.59
2026-01-02,0.9
2026-01-03,0.61
2026-01-04,1.02
2026-01-05,1.34
2026-01-06,1.29
2026-01-07,0.72
2026-01-08,0.55
