date,mean
2025-10-28,2.14
2025-10-29,2
2025-10-30,1.77
2025-10-31,2.14
2025-11-01,1.36
2025-11-02,2.08
2025-11-03,2
2025-11-04,2.58
2025-11-05,2.46
2025-11-06,1.92
2025-11-07,1.92
2025-11-08,1.71
2025-11-09,1.52
2025-11-10,1.37
2025-11-11,1.73
2025-11-12,1.74
2025-11-13,1.74
2025-11-14,1.51
2025-11-15,1.28
2025-11-16,1.28
2025-11-17,1.46
2025-11-18,1.51
2025-11-19,1.37
2025-11-20,1.58
2025-11-21,1.88
2025-11-22,1.67
2025-11-23,1.27
2025-11-24,1.14
2025-11-25,1.9
2025-11-26,1.5
2025-11-27,1.37
2025-11-28,1.14
2025-11-29,0.83
2025-11-30,1.7
2025-12-01,1.17
2025-12-02,1.17
2025-12-03,1.31
2025-12-04,1.12
2025-12-05,0.84
2025-12-06,0.93
2025-12-07,1.07
2025-12-08,1.24
2025-12-09,0.99
2025-12-10,0.84
2025-12-11,0.8
2025-12-12,0.48
2025-12-13,1.42
2025-12-14,1.35
2025-12-15,0.78
2025-12-16,1.37
2025-12-17,1.14
2025-12-18,0.98
2025-12-19,1.18
2025-12-20,1.14
2025-12-21,0.94
2025-12-22,1.01
2025-12-23,0.96
2025-12-24,0.88
2025-12-25,0.95
2025-12-26,0.89
2025-12-27,0.75
2025-12-28,1.32
2025-12-29,0.81
2025-12-30,0.77
2025-12-31,1.01
2026-01-01,0.78
2026-01-02,1.79
2026-01-03,0.74
2026-01-04,1.17
2026-01-05,1.7
2026-01-06,1.44
2026-01-07,0.87
2026-01-08,0.72
2026-01-09,1.15
2026-01-10,0.92
2026-01-11,0.69
2026-01-12,1.13
2026-01-13,1.08
2026-01-14,0.89
2026-01-15,0.94
2026-01-16,0.73
2026-01-17,1.07
2026-01-18,1.2
2026-01-19,1.36
2026-01-20,1.09
2026-01-21,1.2
2026-01-22,1.23
2026-01-23,1.67
2026-01-24,1.33
2026-01-25,1.19
2026-01-26,0.99
2026-01-27,1.92
