date,mean
2025-10-28,1.47
2025-10-29,1.62
2025-10-30,1.68
2025-10-31,1.13
2025-11-01,1.45
2025-11-02,1.72
2025-11-03,1.49
2025-11-04,1.77
2025-11-05,2.3
2025-11-06,1.75
2025-11-07,1.75
2025-11-08,1.54
2025-11-09,1.31
2025-11-10,1.43
2025-11-11,1.57
2025-11-12,1.42
2025-11-13,1.42
2025-11-14,1.41
2025-11-15,1.42
2025-11-16,1.42
2025-11-17,1.27
2025-11-18,1.55
2025-11-19,1.5
2025-11-20,1.92
2025-11-21,2.24
2025-11-22,1.62
2025-11-23,1.01
2025-11-24,1
2025-11-25,1.7
2025-11-26,1.5
2025-11-27,1.48
2025-11-28,1.05
2025-11-29,1.05
2025-11-30,1.68
2025-12-01,1.33
2025-12-02,1.33
2025-12-03,1.27
2025-12-04,1.14
2025-12-05,0.84
2025-12-06,0.92
2025-12-07,0.9
2025-12-08,1.14
2025-12-09,0.77
2025-12-10,1.1
2025-12-11,0.86
2025-12-12,0.5
2025-12-13,1.36
2025-12-14,1.46
2025-12-15,0.81
2025-12-16,1.68
2025-12-17,1.17
2025-12-18,0.92
2025-12-19,1.26
2025-12-20,0.88
2025-12-21,0.98
2025-12-22,0.9
2025-12-23,0.87
2025-12-24,0.87
2025-12-25,0.85
2025-12-26,0.91
2025-12-27,1.02
2025-12-28,1.16
2025-12-29,0.82
2025-12-30,0.61
2025-12-31,0.74
2026-01-01,0.86
2026-01-02,1.31
2026-01-03,0.81
2026-01-04,1.44
2026-01-05,1.8
2026-01-06,1.71
2026-01-07,1.15
2026-01-08,0.75
2026-01-09,1.29
2026-01-10,0.88
2026-01-11,0.78
2026-01-12,1.26
2026-01-13,1.09
2026-01-14,0.96
2026-01-15,1.01
2026-01-16,0.75
2026-01-17,1.05
2026-01-18,1.07
2026-01-19,1.21
2026-01-20,0.97
2026-01-21,1.28
2026-01-22,1.19
2026-01-23,1.21
2026-01-24,1.2
2026-01-25,1.02
2026-01-26,1.01
2026-01-27,1.66
2026-01-28,1.49
2026-01-29,0.82
2026-01-30,1.34
2026-01-31,1.52
2026-02-01,0.63
2026-02-02,1.67
2026-02-03,1.38
2026-02-04,0.61
2026-02-05,1.65
2026-02-06,1.57
