date,mean
2025-10-28,1.21
2025-10-29,1.21
2025-10-30,1.08
2025-10-31,0.75
2025-11-01,1.16
2025-11-02,0.96
2025-11-03,1.22
2025-11-04,1.45
2025-11-05,1.45
2025-11-06,1.4
2025-11-07,1.4
2025-11-08,1.14
2025-11-09,0.91
2025-11-10,0.77
2025-11-11,1.72
2025-11-12,1.79
2025-11-13,1.79
2025-11-14,0.9
2025-11-15,0.76
2025-11-16,0.76
2025-11-17,0.91
2025-11-18,0.67
2025-11-19,0.85
2025-11-20,1.11
2025-11-21,1.05
2025-11-22,0.6
2025-11-23,0.68
2025-11-24,1.42
2025-11-25,0.99
2025-11-26,0.68
2025-11-27,0.58
2025-11-28,0.46
2025-11-29,0.56
2025-11-30,0.83
2025-12-01,0.68
2025-12-02,0.68
2025-12-03,0.55
2025-12-04,0.95
2025-12-05,0.67
2025-12-06,0.82
2025-12-07,0.84
2025-12-08,0.87
2025-12-09,0.84
2025-12-10,0.6
2025-12-11,0.63
2025-12-12,0.49
2025-12-13,0.62
2025-12-14,0.41
2025-12-15,0.5
2025-12-16,0.83
2025-12-17,0.43
2025-12-18,0.77
2025-12-19,0.55
2025-12-20,0.51
2025-12-21,0.62
2025-12-22,0.53
2025-12-23,0.59
2025-12-24,0.61
2025-12-25,0.59
2025-12-26,0.56
2025-12-27,0.72
2025-12-28,0.76
2025-12-29,0.57
2025-12-30,0.36
2025-12-31,0.36
2026-01-01,0.47
2026-01-02,0.65
2026-01-03,0.63
2026-01-04,0.82
2026-01-05,0.76
2026-01-06,0.75
2026-01-07,0.77
2026-01-08,0.68
2026-01-09,1.18
2026-01-10,0.66
2026-01-11,0.6
2026-01-12,1.27
2026-01-13,0.85
2026-01-14,0.56
2026-01-15,0.57
2026-01-16,0.54
2026-01-17,0.49
2026-01-18,0.68
2026-01-19,0.67
2026-01-20,0.45
2026-01-21,0.91
2026-01-22,0.84
2026-01-23,0.82
2026-01-24,0.7
2026-01-25,1.2
2026-01-26,0.86
2026-01-27,1.04
2026-01-28,0.88
2026-01-29,1.21
2026-01-30,1.41
2026-01-31,1.21
