date,mean
2025-10-28,1.11
2025-10-29,1.12
2025-10-30,1.19
2025-10-31,0.81
2025-11-01,0.92
2025-11-02,1.17
2025-11-03,1.22
2025-11-04,1.72
2025-11-05,1.46
2025-11-06,1.15
2025-11-07,1.15
2025-11-08,1.14
2025-11-09,1.07
2025-11-10,0.82
2025-11-11,1.55
2025-11-12,1.58
2025-11-13,1.58
2025-11-14,0.9
2025-11-15,0.73
2025-11-16,0.73
2025-11-17,0.79
2025-11-18,0.84
2025-11-19,0.99
2025-11-20,1.07
2025-11-21,1.13
2025-11-22,0.76
2025-11-23,0.65
2025-11-24,0.97
2025-11-25,0.95
2025-11-26,0.8
2025-11-27,0.71
2025-11-28,0.64
