date,mean
2025-10-28,1.12
2025-10-29,1.06
2025-10-30,1.08
2025-10-31,0.82
2025-11-01,0.95
2025-11-02,1.05
2025-11-03,1.19
2025-11-04,1.65
2025-11-05,1.49
2025-11-06,1.11
2025-11-07,1.11
2025-11-08,1.02
2025-11-09,1
2025-11-10,0.8
2025-11-11,1.45
2025-11-12,1.5
2025-11-13,1.5
2025-11-14,0.83
2025-11-15,0.72
2025-11-16,0.72
2025-11-17,0.85
2025-11-18,0.86
2025-11-19,0.98
2025-11-20,1.03
2025-11-21,0.98
2025-11-22,0.7
2025-11-23,0.6
2025-11-24,0.89
2025-11-25,0.83
2025-11-26,0.73
2025-11-27,0.66
2025-11-28,0.59
2025-11-29,0.58
2025-11-30,0.93
2025-12-01,0.82
2025-12-02,0.82
2025-12-03,0.56
2025-12-04,0.84
2025-12-05,0.64
2025-12-06,0.65
2025-12-07,0.69
2025-12-08,0.86
2025-12-09,0.91
2025-12-10,0.56
2025-12-11,0.58
2025-12-12,0.5
2025-12-13,0.77
2025-12-14,0.62
2025-12-15,0.48
2025-12-16,0.73
2025-12-17,0.52
2025-12-18,0.79
2025-12-19,0.5
2025-12-20,0.55
2025-12-21,0.47
2025-12-22,0.51
2025-12-23,0.6
2025-12-24,0.61
2025-12-25,0.62
2025-12-26,0.56
2025-12-27,0.91
2025-12-28,0.81
2025-12-29,0.57
2025-12-30,0.51
2025-12-31,0.47
2026-01-01,0.54
2026-01-02,0.73
2026-01-03,0.88
2026-01-04,0.92
2026-01-05,0.88
2026-01-06,0.77
2026-01-07,0.61
2026-01-08,0.52
2026-01-09,0.91
2026-01-10,0.61
2026-01-11,0.58
2026-01-12,0.91
2026-01-13,0.73
2026-01-14,0.56
2026-01-15,0.6
2026-01-16,0.51
2026-01-17,0.54
2026-01-18,0.67
2026-01-19,0.62
2026-01-20,0.54
2026-01-21,0.93
2026-01-22,0.81
2026-01-23,0.72
2026-01-24,0.65
2026-01-25,1.12
