date,mean
2025-10-28,1.24
2025-10-29,1.17
2025-10-30,1.32
2025-10-31,0.85
2025-11-01,0.86
2025-11-02,1.3
2025-11-03,1.45
2025-11-04,2.07
2025-11-05,1.53
2025-11-06,1.11
2025-11-07,1.11
2025-11-08,1.23
2025-11-09,1.21
2025-11-10,0.84
2025-11-11,1.54
2025-11-12,1.68
2025-11-13,1.68
2025-11-14,0.98
2025-11-15,0.75
2025-11-16,0.75
2025-11-17,0.8
2025-11-18,0.93
2025-11-19,0.99
2025-11-20,1.06
2025-11-21,1.23
2025-11-22,0.89
2025-11-23,0.67
2025-11-24,0.94
2025-11-25,1.04
2025-11-26,0.88
2025-11-27,0.83
2025-11-28,0.74
2025-11-29,0.67
2025-11-30,0.99
2025-12-01,1
2025-12-02,1
2025-12-03,0.66
