date,mean
2025-10-28,1.37
2025-10-29,1.2
2025-10-30,1.24
2025-10-31,0.87
2025-11-01,0.96
2025-11-02,1.26
2025-11-03,1.38
2025-11-04,2.17
2025-11-05,1.8
2025-11-06,1.17
2025-11-07,1.17
2025-11-08,1.08
2025-11-09,1.13
2025-11-10,0.86
2025-11-11,1.55
2025-11-12,1.66
2025-11-13,1.66
2025-11-14,0.97
2025-11-15,0.8
2025-11-16,0.8
2025-11-17,0.89
2025-11-18,1.04
2025-11-19,0.94
2025-11-20,1.05
2025-11-21,1.01
2025-11-22,0.81
2025-11-23,0.69
2025-11-24,0.91
2025-11-25,0.91
2025-11-26,0.83
2025-11-27,0.76
2025-11-28,0.74
2025-11-29,0.69
2025-11-30,0.96
2025-12-01,0.98
2025-12-02,0.98
2025-12-03,0.61
2025-12-04,0.84
2025-12-05,0.55
2025-12-06,0.69
2025-12-07,0.73
2025-12-08,0.97
2025-12-09,0.99
2025-12-10,0.63
2025-12-11,0.68
2025-12-12,0.54
2025-12-13,0.86
2025-12-14,0.76
2025-12-15,0.56
2025-12-16,0.81
2025-12-17,0.62
2025-12-18,0.86
2025-12-19,0.6
2025-12-20,0.66
2025-12-21,0.5
2025-12-22,0.55
2025-12-23,0.71
2025-12-24,0.74
2025-12-25,0.82
2025-12-26,0.66
2025-12-27,1.06
2025-12-28,0.89
2025-12-29,0.63
2025-12-30,0.57
2025-12-31,0.66
2026-01-01,0.82
2026-01-02,1.09
2026-01-03,0.92
2026-01-04,1.07
2026-01-05,1.08
2026-01-06,0.76
2026-01-07,0.65
2026-01-08,0.52
2026-01-09,0.88
2026-01-10,0.66
