date,mean
2025-10-28,1.82
2025-10-29,1.91
2025-10-30,1.8
2025-10-31,2.73
2025-11-01,1.47
2025-11-02,1.84
2025-11-03,2.36
2025-11-04,2.46
2025-11-05,2.47
2025-11-06,1.8
2025-11-07,1.8
2025-11-08,1.63
2025-11-09,1.46
2025-11-10,1.36
2025-11-11,1.87
2025-11-12,1.9
2025-11-13,1.9
2025-11-14,1.16
2025-11-15,1.07
2025-11-16,1.07
2025-11-17,1.18
2025-11-18,1.72
2025-11-19,1.17
2025-11-20,1.6
2025-11-21,1.89
2025-11-22,1.64
2025-11-23,1.24
2025-11-24,0.97
2025-11-25,1.92
2025-11-26,1.64
2025-11-27,1.52
2025-11-28,1.26
2025-11-29,0.89
2025-11-30,1.45
2025-12-01,1.52
2025-12-02,1.52
2025-12-03,1.3
2025-12-04,1.12
2025-12-05,0.8
2025-12-06,0.97
2025-12-07,1.06
2025-12-08,1.42
2025-12-09,0.88
2025-12-10,0.83
2025-12-11,0.82
2025-12-12,0.49
2025-12-13,1.28
2025-12-14,1.47
2025-12-15,0.65
2025-12-16,1.14
2025-12-17,1.26
2025-12-18,1.11
2025-12-19,1
2025-12-20,0.96
2025-12-21,0.89
2025-12-22,0.91
2025-12-23,0.87
2025-12-24,0.77
2025-12-25,0.95
2025-12-26,0.9
2025-12-27,1
2025-12-28,1.14
2025-12-29,0.79
2025-12-30,0.75
2025-12-31,0.88
2026-01-01,0.73
2026-01-02,1.82
2026-01-03,0.65
2026-01-04,1.23
2026-01-05,1.56
2026-01-06,1.52
2026-01-07,0.68
2026-01-08,0.61
2026-01-09,1.24
2026-01-10,0.85
2026-01-11,0.68
2026-01-12,1.04
2026-01-13,0.95
2026-01-14,0.84
2026-01-15,0.81
2026-01-16,0.68
2026-01-17,0.98
2026-01-18,1.02
2026-01-19,1.57
2026-01-20,0.98
2026-01-21,1
2026-01-22,1.04
2026-01-23,1.17
2026-01-24,1.14
2026-01-25,1.04
2026-01-26,0.98
2026-01-27,1.61
2026-01-28,1.57
2026-01-29,0.57
2026-01-30,1.18
2026-01-31,1.59
2026-02-01,0.68
2026-02-02,1.55
2026-02-03,1.16
2026-02-04,0.81
2026-02-05,1.73
2026-02-06,1.49
2026-02-07,1.58
2026-02-08,1.45
2026-02-09,0.58
2026-02-10,0.57
