date,minimum,maximum,range,mean,std
2025-04-23,3.698559,3.737839,0.039271,3.718679,0.009422
2025-04-24,3.361959,3.85892,0.496959,3.644309,0.136365
2025-04-25,2.285219,2.832279,0.547065,2.547709,0.14757
2025-04-26,3.901479,3.94214,0.040665,3.917119,0.011116
2025-04-27,4.73957,4.871789,0.132223,4.80587,0.035902
2025-04-28,4.957709,5.472219,0.514513,5.216869,0.138953
2025-04-29,4.25213,4.401959,0.149826,4.314589,0.039209
2025-04-30,1.194069,1.33817,0.144096,1.26545,0.04056
2025-05-01,3.68299,4.26687,0.583884,3.960999,0.166509
2025-05-02,2.635819,3.147789,0.511974,2.8622,0.143664
2025-05-05,2.718719,3.237099,0.518386,2.940579,0.141307
2025-05-07,4.17031,4.581669,0.411365,4.344019,0.11375
2025-05-10,2.907639,3.51079,0.603154,3.217309,0.172532
2025-05-14,3.350389,4.05583,0.705447,3.701529,0.197659
2025-05-15,3.951509,4.221099,0.269589,4.089829,0.07662
2025-05-16,4.690939,4.783689,0.092756,4.74337,0.026757
2025-05-17,4.518829,5.057909,0.539079,4.78843,0.15473
2025-05-18,2.514329,2.767019,0.252683,2.63889,0.065586
2025-05-19,3.286789,3.69106,0.404262,3.48809,0.117013
2025-05-20,4.08472,4.28692,0.202197,4.175419,0.058937
2025-05-21,4.233789,4.49442,0.260632,4.358399,0.074487
2025-05-22,4.199289,4.408599,0.2093,4.2985,0.056059
2025-05-23,4.799449,4.870669,0.071227,4.83124,0.017781
2025-05-24,4.82277,4.937129,0.114357,4.87795,0.022552
2025-05-25,4.262469,4.38673,0.124264,4.3291,0.032388
2025-05-26,3.946619,4.03057,0.083948,3.98438,0.019939
2025-05-27,4.51448,4.72096,0.206479,4.626289,0.055038
2025-05-28,4.68965,4.936009,0.24636,4.8154,0.06751
2025-05-29,5.13886,5.31644,0.177575,5.24765,0.047481
2025-05-30,3.78637,4.487889,0.70152,4.166039,0.19065
2025-05-31,4.104499,4.610589,0.506094,4.38908,0.139424
2025-06-01,3.313479,3.43401,0.120531,3.37993,0.029115
2025-06-02,4.134829,4.218619,0.083792,4.16823,0.017794
2025-06-03,3.34797,3.879379,0.531413,3.61313,0.147217
2025-07-06,4.784319,5.34244,0.558118,5.0879,0.156564
2025-07-07,4.666979,5.35748,0.6905,5.03206,0.194673
2025-07-08,6.96602,7.057529,0.09151,7.00962,0.019504
2025-07-09,4.649759,5.115769,0.466006,4.89853,0.12785
2025-07-10,3.802829,4.247439,0.444608,4.06928,0.12177
2025-07-11,2.35206,2.718209,0.366151,2.53531,0.097577
2025-07-12,3.589499,4.05033,0.460828,3.77165,0.124366
2025-07-13,4.58956,4.838029,0.248465,4.71559,0.06596
2025-07-14,5.029739,5.071829,0.042094,5.050469,0.010015
2025-07-15,5.61498,5.68162,0.066642,5.645349,0.014478
2025-07-16,4.85515,5.480909,0.625756,5.17311,0.166501
2025-07-18,4.44663,4.671629,0.224992,4.571,0.059675
2025-07-19,4.44083,4.735459,0.294636,4.583849,0.078956
2025-07-20,4.25463,4.860549,0.605911,4.5327,0.168832
2025-07-21,4.768959,4.94989,0.180934,4.878479,0.050919
2025-07-22,4.70375,4.801939,0.098197,4.754079,0.022786
2025-07-23,4.84977,4.92181,0.072044,4.89799,0.014538
2025-07-25,6.49768,6.66589,0.168206,6.568079,0.039714
2025-07-26,5.74445,5.95866,0.214219,5.871419,0.056285
2025-07-28,4.93721,5.336619,0.399408,5.16447,0.114155
2025-07-29,6.829329,7.15851,0.329183,6.96436,0.071141
2025-07-30,6.40351,6.77931,0.375799,6.63219,0.105323
2025-07-31,5.447879,5.667129,0.219246,5.58089,0.059487
2025-08-01,4.679269,4.985529,0.306266,4.8533,0.086854
2025-08-02,4.499279,5.034399,0.535121,4.796279,0.148923
2025-08-03,5.593959,5.779349,0.185385,5.69595,0.045591
2025-08-04,5.35472,5.533609,0.178895,5.448579,0.039103
2025-08-05,4.94356,5.29333,0.34977,5.14586,0.100042
2025-08-06,4.743259,5.07345,0.33019,4.912889,0.091487
2025-08-07,3.80621,4.3898,0.583581,4.077499,0.160843
2025-08-08,3.86081,4.507639,0.646829,4.198229,0.178543
