date,minimum,maximum,range,mean,std
2025-04-23,3.7204,3.85587,0.135473,3.760459,0.027285
2025-04-24,3.97022,4.139289,0.169076,4.071889,0.027522
2025-04-25,2.160629,2.40487,0.244244,2.236979,0.057962
2025-04-26,3.76059,3.9068,0.146215,3.821249,0.037442
2025-04-27,4.68014,4.739679,0.059535,4.700439,0.014593
2025-04-28,4.9299,5.071929,0.142029,4.963059,0.0375
2025-04-29,4.1381,4.36942,0.231315,4.299479,0.05189
2025-04-30,1.17025,1.261379,0.091132,1.199679,0.020828
2025-05-01,3.799319,3.944129,0.144811,3.90434,0.027868
2025-05-02,2.55706,2.67859,0.121531,2.58902,0.026402
2025-05-05,2.200789,2.497149,0.296366,2.306309,0.071929
2025-05-07,3.760839,4.037149,0.276317,3.86362,0.069169
2025-05-10,3.222909,3.359819,0.13691,3.331259,0.024421
2025-05-14,3.52042,3.66192,0.141498,3.588419,0.02
2025-05-15,3.97052,4.17924,0.20872,4.03021,0.048268
2025-05-16,4.77578,4.821919,0.046148,4.812099,0.007963
2025-05-17,4.69675,4.816679,0.119934,4.7526,0.0214
2025-05-18,2.250829,2.474509,0.223676,2.346019,0.059539
2025-05-19,3.45777,3.669519,0.211747,3.61174,0.041934
2025-05-20,4.06051,4.215919,0.15541,4.1114,0.035015
2025-05-21,4.320219,4.403019,0.082801,4.34413,0.018376
2025-05-22,3.99071,4.21463,0.223911,4.07312,0.053265
2025-05-23,4.66083,4.865799,0.204971,4.74556,0.052616
2025-05-24,5.09005,5.19735,0.107302,5.11806,0.024061
2025-05-25,4.40036,4.50083,0.100465,4.43233,0.023724
2025-05-26,3.940449,4.061729,0.121273,3.985899,0.029673
2025-05-27,4.76301,4.866899,0.10389,4.79671,0.022876
2025-05-28,4.8007,4.974009,0.17331,4.86915,0.044126
2025-05-29,5.300819,5.51441,0.213584,5.37998,0.050594
2025-05-30,4.60087,4.856659,0.255795,4.755239,0.039819
2025-05-31,4.61323,4.813739,0.200507,4.678909,0.045994
2025-06-01,2.90103,3.215709,0.314682,3.020109,0.074522
2025-06-02,4.010409,4.124599,0.114187,4.053899,0.027825
2025-06-03,3.382649,3.603879,0.221233,3.44929,0.050108
2025-07-06,5.269619,5.47337,0.203746,5.337259,0.040302
2025-07-07,5.090799,5.405799,0.314999,5.177209,0.066012
2025-07-08,6.97052,7.146979,0.176458,7.032219,0.039605
2025-07-09,5.01068,5.2946,0.283917,5.0843,0.05862
2025-07-10,4.130489,4.3021,0.171611,4.18578,0.039036
2025-07-11,2.12065,2.327049,0.206393,2.203759,0.053764
2025-07-12,2.65174,3.154419,0.502677,2.86678,0.136134
2025-07-13,4.450689,4.664639,0.213953,4.534049,0.052109
2025-07-14,4.730869,5.01413,0.283262,4.83471,0.065428
2025-07-15,5.36111,5.69038,0.329263,5.490109,0.080559
2025-07-16,5.34241,5.59385,0.251441,5.42843,0.046358
2025-07-18,4.370669,4.583799,0.213128,4.450719,0.050384
2025-07-19,4.13103,4.44529,0.31426,4.256239,0.078299
2025-07-20,3.911079,4.231669,0.320591,4.04356,0.084119
2025-07-21,4.71077,4.950359,0.23959,4.80103,0.057177
2025-07-22,4.73069,4.976429,0.245741,4.809599,0.053311
2025-07-23,4.470719,4.698659,0.227935,4.56197,0.057577
2025-07-25,6.83648,6.998119,0.161639,6.92908,0.032567
2025-07-26,5.721149,6.04603,0.324874,5.85021,0.080949
2025-07-28,5.031129,5.4383,0.407169,5.1592,0.085933
2025-07-29,7.478559,7.969039,0.490482,7.828219,0.119727
2025-07-30,6.470829,6.71396,0.24313,6.568789,0.061036
2025-07-31,5.401239,5.744649,0.343414,5.540229,0.087086
2025-08-01,4.7909,5.112999,0.322095,4.892429,0.068544
