date,minimum,maximum,range,mean,std
2025-04-23,3.710079,3.76429,0.054207,3.722939,0.011001
2025-04-24,3.140949,3.674449,0.533499,3.312099,0.124534
2025-04-25,2.60325,3.048949,0.445695,2.881939,0.110785
2025-04-26,3.890089,3.91014,0.020055,3.899699,0.004939
2025-04-27,4.811299,4.90985,0.098551,4.88072,0.02285
2025-04-28,5.255519,5.65909,0.403566,5.516149,0.096728
2025-04-29,4.231639,4.49933,0.267697,4.412399,0.057263
2025-04-30,1.29505,1.37984,0.084791,1.349529,0.021213
2025-05-01,4.08851,4.44922,0.360711,4.313859,0.090493
2025-05-02,2.90365,3.339159,0.43551,3.191179,0.105077
2025-05-05,2.888149,3.459089,0.570933,3.286629,0.133052
2025-05-07,4.31757,4.749279,0.431704,4.61637,0.102218
2025-05-10,3.400089,3.669359,0.26927,3.558029,0.069351
2025-05-14,3.857029,4.279129,0.422093,4.11871,0.106968
2025-05-15,4.17185,4.28977,0.117919,4.245659,0.028033
2025-05-16,4.77824,4.79996,0.021717,4.7912,0.005338
2025-05-17,4.934279,5.20942,0.275142,5.102099,0.070143
2025-05-18,2.62085,2.85961,0.238756,2.78794,0.055387
2025-05-19,3.61171,3.799619,0.187903,3.7258,0.046882
2025-05-20,4.22586,4.34976,0.123901,4.304269,0.03061
2025-05-21,4.428899,4.58957,0.160667,4.521659,0.04117
2025-05-22,4.30523,4.45979,0.154559,4.415699,0.037814
2025-05-23,4.77014,4.822529,0.05239,4.79159,0.012692
2025-05-24,4.770289,4.97239,0.202098,4.823329,0.045821
2025-05-25,4.22018,4.33899,0.118813,4.25669,0.02932
2025-05-26,3.920109,3.982219,0.062111,3.942199,0.015603
2025-05-27,4.430359,4.64475,0.214386,4.497459,0.050588
2025-05-28,4.600359,4.793869,0.193517,4.666649,0.047032
2025-05-29,5.04046,5.2922,0.25174,5.12015,0.058703
2025-05-30,3.501189,4.19855,0.697353,3.720849,0.163344
2025-05-31,3.890899,4.375979,0.485089,4.055389,0.117468
2025-06-01,3.249,3.369899,0.120893,3.35365,0.023792
2025-06-02,4.126049,4.16995,0.043891,4.16117,0.009389
2025-06-03,3.72701,4.059219,0.332206,3.93104,0.08331
2025-07-06,4.570859,5.039209,0.468351,4.72976,0.112641
2025-07-07,4.421,4.927969,0.506971,4.602099,0.123645
2025-07-08,6.91025,7.029739,0.119488,6.95345,0.028821
2025-07-09,4.4807,4.86946,0.388767,4.607679,0.09333
2025-07-10,4.17117,4.329649,0.158472,4.27012,0.036792
2025-07-11,2.536969,2.839509,0.302543,2.74772,0.070984
2025-07-12,3.63257,4.26905,0.636475,4.087749,0.145923
2025-07-13,4.738049,4.91965,0.181597,4.85615,0.043286
2025-07-14,5.013949,5.08991,0.075955,5.071459,0.016249
2025-07-15,5.58015,5.63316,0.053009,5.60405,0.013771
2025-07-16,4.64083,5.10478,0.463948,4.79579,0.111527
2025-07-18,4.606709,4.72975,0.123044,4.68481,0.029757
2025-07-19,4.578999,4.83955,0.260544,4.75669,0.060228
2025-07-20,4.56015,5.089049,0.5289,4.91402,0.125115
2025-07-21,4.920509,4.979879,0.059367,4.956329,0.015375
2025-07-22,4.700129,4.796249,0.09612,4.72412,0.024777
2025-07-23,4.80453,4.94982,0.145294,4.91721,0.031593
2025-07-25,6.41054,6.686759,0.276217,6.493989,0.06496
2025-07-26,5.630519,5.872469,0.241956,5.71635,0.057964
2025-07-28,4.770699,5.096899,0.326202,4.892179,0.080809
2025-07-29,6.700819,7.16934,0.468513,6.83894,0.113217
2025-07-30,6.736629,6.839789,0.103161,6.79786,0.026675
2025-07-31,5.3305,5.56784,0.237339,5.417799,0.057925
2025-08-01,4.550529,4.81988,0.269347,4.64474,0.065882
2025-08-02,4.28092,4.769869,0.488954,4.44464,0.116681
2025-08-03,5.5004,5.683619,0.183223,5.56822,0.045355
2025-08-04,5.2704,5.4661,0.195697,5.33747,0.046809
2025-08-05,4.790629,5.06617,0.275546,4.89904,0.069814
2025-08-06,4.63044,4.838799,0.20836,4.708819,0.052769
2025-08-07,3.650579,3.92103,0.270451,3.75405,0.067487
2025-08-08,3.630919,4.116519,0.485603,3.798259,0.117951
2025-08-09,4.08091,4.57597,0.495058,4.24656,0.118478
2025-08-10,4.790689,5.160339,0.36965,4.916299,0.089341
2025-08-11,3.461489,4.27889,0.817407,3.72508,0.192293
2025-08-12,3.89045,4.21559,0.325138,3.97463,0.076701
2025-08-13,3.900929,4.376959,0.476027,4.066689,0.114619
2025-08-18,4.13032,4.292769,0.16245,4.18751,0.040297
2025-08-19,4.19034,4.395919,0.20558,4.251589,0.04787
2025-08-20,4.2403,4.399799,0.1595,4.292119,0.037527
2025-08-21,4.020299,4.18373,0.163427,4.072949,0.038167
2025-08-22,4.320409,4.499539,0.179133,4.39118,0.045497
2025-08-23,3.96041,4.151979,0.191569,4.034979,0.048418
2025-08-24,3.640419,3.872479,0.232066,3.715729,0.055419
2025-08-25,3.07094,3.601269,0.530327,3.244319,0.126457
2025-08-26,3.60078,4.012629,0.411848,3.741169,0.098855
2025-08-28,4.181459,4.389609,0.208149,4.315489,0.050619
2025-08-29,3.280159,3.40402,0.123862,3.30868,0.029311
2025-08-30,3.689039,3.859689,0.170651,3.800839,0.040722
