date,minimum,maximum,range,mean,std
2025-04-23,3.658699,3.720999,0.062299,3.701869,0.018778
2025-04-24,3.62578,3.85939,0.233605,3.75197,0.043465
2025-04-25,2.26885,2.547879,0.279029,2.378679,0.060591
2025-04-26,3.934139,3.96548,0.031339,3.948999,0.005157
2025-04-27,4.789559,4.86738,0.077826,4.83304,0.019538
2025-04-28,5.013939,5.253099,0.23916,5.130199,0.045969
2025-04-29,4.258969,4.31192,0.052953,4.28379,0.00993
2025-04-30,1.178699,1.270159,0.091458,1.221359,0.021449
2025-05-01,3.61047,3.95822,0.347746,3.755409,0.080639
2025-05-02,2.546619,2.870219,0.323603,2.67967,0.074271
2025-05-05,2.81012,3.039,0.228881,2.915149,0.045436
2025-05-07,4.2557,4.41793,0.16222,4.321829,0.037034
2025-05-10,2.728189,3.180419,0.452226,2.93985,0.107161
2025-05-14,3.329449,3.70865,0.379202,3.4681,0.090602
2025-05-15,3.866709,4.089049,0.222342,3.975739,0.052445
2025-05-16,4.703509,4.760179,0.056664,4.732049,0.012705
2025-05-17,4.46785,4.78598,0.318127,4.60686,0.074676
2025-05-18,2.531389,2.659849,0.128456,2.582449,0.028022
2025-05-19,3.354809,3.53231,0.177503,3.43821,0.039026
2025-05-20,3.941329,4.163559,0.222224,4.06333,0.056228
2025-05-21,4.0748,4.332759,0.257959,4.21084,0.062117
2025-05-22,4.32001,4.372819,0.052809,4.35084,0.013727
2025-05-23,4.76373,4.869709,0.105975,4.828989,0.026097
2025-05-24,4.63182,4.84589,0.214071,4.77468,0.059862
2025-05-25,4.139949,4.354599,0.214647,4.26547,0.052783
2025-05-26,3.951809,4.0412,0.089391,3.99602,0.01607
2025-05-27,4.49982,4.699289,0.199474,4.608399,0.04414
2025-05-28,4.60962,4.88638,0.276758,4.76551,0.065034
2025-05-29,5.03063,5.24621,0.215573,5.16654,0.05689
2025-05-30,3.96912,4.39896,0.429839,4.166319,0.094994
2025-05-31,4.33534,4.57059,0.235244,4.435579,0.050536
2025-06-01,3.406339,3.453609,0.047266,3.431869,0.01087
2025-06-02,4.12658,4.23039,0.103814,4.17959,0.020167
2025-06-03,3.38104,3.645979,0.264941,3.49778,0.054727
2025-07-06,5.025159,5.249579,0.224415,5.12757,0.047548
2025-07-07,5.026999,5.330009,0.303007,5.19601,0.06149
2025-07-08,6.986209,7.05801,0.071802,7.02506,0.020936
2025-07-09,4.47765,4.94464,0.466993,4.740149,0.112685
2025-07-10,3.229229,3.836649,0.607415,3.5353,0.165491
2025-07-11,2.41275,2.61694,0.204186,2.533879,0.042916
2025-07-12,3.59976,3.82147,0.221708,3.68056,0.051441
2025-07-13,4.18655,4.611169,0.424623,4.420899,0.115552
2025-07-14,4.744979,4.986629,0.241646,4.89301,0.071474
2025-07-15,5.440509,5.613059,0.172553,5.54887,0.042989
2025-07-16,4.99383,5.254479,0.260646,5.11955,0.054112
2025-07-18,4.130559,4.4828,0.352245,4.31192,0.084326
2025-07-19,4.066909,4.498199,0.431284,4.28486,0.103125
2025-07-20,3.871589,4.466849,0.595252,4.16404,0.144509
2025-07-21,4.375959,4.765989,0.390031,4.595729,0.106913
2025-07-22,4.26024,4.614379,0.354135,4.48472,0.101038
2025-07-23,4.74899,4.878349,0.129359,4.81605,0.029644
2025-07-25,6.288129,6.51877,0.230636,6.4453,0.060465
2025-07-26,5.74801,5.879069,0.131068,5.833409,0.03784
2025-07-28,5.14963,5.274789,0.125158,5.22943,0.026195
2025-07-29,6.603769,6.867949,0.264174,6.78525,0.067606
2025-07-30,6.108049,6.555729,0.447685,6.33583,0.104253
2025-07-31,5.52389,5.581329,0.057439,5.566969,0.014357
2025-08-01,4.68799,4.86838,0.180388,4.794519,0.040016
2025-08-02,4.62963,4.920869,0.291242,4.769259,0.06665
2025-08-03,5.42244,5.664199,0.24176,5.580359,0.0684
2025-08-04,5.024059,5.364029,0.339967,5.24905,0.101154
2025-08-05,5.121109,5.23492,0.113808,5.17922,0.020853
2025-08-06,4.640089,4.946209,0.306111,4.809609,0.075219
2025-08-07,3.56061,4.18194,0.621321,3.889309,0.152673
2025-08-08,3.897579,4.34275,0.44517,4.110949,0.107914
2025-08-09,4.38318,4.7265,0.343324,4.549709,0.080985
2025-08-10,4.90772,5.23075,0.323035,5.082689,0.081041
2025-08-11,4.130469,4.42358,0.293118,4.276639,0.055523
2025-08-12,3.19154,3.86959,0.678049,3.613209,0.198167
2025-08-13,4.348849,4.5942,0.24535,4.448689,0.05733
2025-08-18,4.09353,4.28699,0.193452,4.208899,0.054219
2025-08-19,4.091879,4.30666,0.214783,4.223569,0.060993
2025-08-20,4.17838,4.353759,0.175374,4.288939,0.050008
2025-08-21,4.02145,4.14401,0.122562,4.098599,0.035222
2025-08-22,4.54675,4.63168,0.084922,4.587999,0.017249
2025-08-23,4.143849,4.32845,0.184593,4.229179,0.042238
2025-08-24,3.61904,3.869349,0.25031,3.75936,0.067199
2025-08-25,3.448909,3.758239,0.309329,3.57885,0.076539
2025-08-26,3.967339,4.15806,0.190724,4.040329,0.045893
2025-08-28,3.670989,4.03582,0.364829,3.839849,0.09442
2025-08-29,2.859129,3.228229,0.369094,3.08681,0.107538
2025-08-30,3.209379,3.571199,0.361818,3.40246,0.100841
