date,minimum,maximum,range,mean,std
2025-04-23,3.644239,3.80376,0.159518,3.737709,0.030818
2025-04-24,3.89067,4.13097,0.240298,4.02882,0.049364
2025-04-25,1.88329,2.23932,0.356029,2.03449,0.072219
2025-04-26,3.92276,4.038509,0.115749,3.99199,0.025687
2025-04-27,4.63848,4.734469,0.095985,4.67466,0.022109
2025-04-28,4.568049,4.9186,0.350544,4.710569,0.073738
2025-04-29,4.159959,4.245069,0.085109,4.192019,0.018928
2025-04-30,1.10887,1.18285,0.073974,1.133829,0.016089
2025-05-01,3.368789,3.63979,0.271008,3.457489,0.058308
2025-05-02,2.453759,2.61875,0.164991,2.51739,0.029407
2025-05-05,2.482719,2.703629,0.220907,2.55601,0.048284
2025-05-07,4.01905,4.188879,0.169832,4.123439,0.032305
2025-05-10,2.55028,2.847919,0.297641,2.642689,0.065759
2025-05-14,2.91189,3.28711,0.375223,3.044689,0.078697
2025-05-15,3.78816,3.93666,0.148498,3.861589,0.028369
2025-05-16,4.602,4.706679,0.104672,4.67565,0.024424
2025-05-17,4.194839,4.47451,0.279675,4.287099,0.06165
2025-05-18,2.274569,2.496479,0.22191,2.3714,0.046987
2025-05-19,3.06047,3.27493,0.214463,3.168479,0.043285
2025-05-20,3.98481,4.23332,0.248508,4.123529,0.048162
2025-05-21,4.100709,4.32312,0.222412,4.2325,0.043313
2025-05-22,3.98722,4.24068,0.253468,4.130559,0.067797
2025-05-23,4.859469,4.977039,0.117577,4.92279,0.023396
2025-05-24,4.866849,5.029749,0.162901,4.9387,0.033824
2025-05-25,4.398029,4.6918,0.293772,4.531949,0.068516
2025-05-26,4.0124,4.27326,0.260856,4.145569,0.057228
2025-05-27,4.748439,5.00537,0.256931,4.86947,0.058899
2025-05-28,4.965449,5.259319,0.293864,5.115099,0.063605
2025-05-29,5.2838,5.345039,0.061236,5.325669,0.011129
2025-05-30,4.544449,5.097579,0.553126,4.84238,0.117729
2025-05-31,4.62726,4.88487,0.257609,4.775939,0.053226
2025-06-01,3.41842,3.496429,0.078002,3.456279,0.018545
2025-06-02,4.186669,4.478149,0.291489,4.34352,0.063342
2025-06-03,3.04217,3.315959,0.273786,3.12928,0.059581
2025-07-06,5.329249,5.52323,0.193976,5.44888,0.041148
2025-07-07,5.39051,5.61343,0.222912,5.531929,0.042936
2025-07-08,6.665269,6.962709,0.297439,6.82869,0.070796
2025-07-09,5.109059,5.365029,0.255968,5.256289,0.053427
2025-07-10,3.25113,3.725759,0.474635,3.46963,0.117444
2025-07-11,1.86667,2.30374,0.43707,2.073379,0.094955
2025-07-12,3.2458,3.562119,0.316314,3.387789,0.065231
2025-07-13,4.400169,4.569849,0.169678,4.47135,0.043399
2025-07-14,4.971389,5.079599,0.108209,5.019149,0.02659
2025-07-15,5.39902,5.651249,0.252232,5.51902,0.056985
2025-07-16,5.437809,5.724559,0.286751,5.59625,0.064723
2025-07-18,4.19394,4.411729,0.217791,4.28838,0.056331
2025-07-19,4.24651,4.414859,0.168348,4.31226,0.044828
2025-07-20,3.98283,4.201159,0.218328,4.06151,0.046555
