date,minimum,maximum,range,mean,std
2025-04-23,4.741839,4.84877,0.106935,4.784249,0.023599
2025-04-24,4.943459,5.075739,0.132274,5.03171,0.027175
2025-04-25,3.974879,4.113969,0.139084,4.038449,0.032823
2025-04-26,4.9235,5.102419,0.178924,5.0191,0.034305
2025-04-27,5.109179,5.265709,0.156529,5.20262,0.030807
2025-04-28,5.346139,5.481019,0.134875,5.422639,0.034163
2025-04-29,2.96529,3.32417,0.358875,3.10539,0.075739
2025-04-30,2.462879,3.119189,0.656307,2.790839,0.156422
2025-05-01,4.17714,4.28241,0.10527,4.21116,0.024082
2025-05-02,2.945909,3.28165,0.335747,3.132819,0.073338
2025-05-05,3.46584,3.525039,0.059202,3.488579,0.017719
2025-05-07,4.015039,4.146379,0.131345,4.060939,0.021028
2025-05-10,4.023159,4.237699,0.214536,4.14787,0.052118
2025-05-14,4.653039,4.78799,0.134947,4.7128,0.025959
2025-05-15,5.21991,5.320439,0.100537,5.25954,0.018342
2025-05-16,5.007549,5.307079,0.299535,5.178609,0.069243
2025-05-17,5.746749,5.88107,0.134319,5.79394,0.021621
2025-05-18,5.009369,5.15217,0.142796,5.06709,0.0386
2025-05-19,4.70942,4.869659,0.160237,4.786429,0.040747
2025-05-20,5.61346,5.911099,0.297637,5.76584,0.079649
2025-05-21,5.96257,6.24236,0.279792,6.124909,0.053764
2025-05-22,5.93727,6.39412,0.456856,6.19628,0.095771
2025-05-23,6.57242,6.703999,0.131576,6.64406,0.016746
2025-05-24,6.064119,6.25823,0.194113,6.16729,0.047037
2025-05-25,6.35822,6.490149,0.131936,6.406949,0.022987
2025-05-26,6.389689,6.64087,0.251183,6.522309,0.062163
2025-05-27,6.248929,6.436649,0.18772,6.3551,0.02523
2025-05-28,6.764019,6.99097,0.226947,6.8418,0.050005
2025-05-29,7.42805,7.676879,0.248822,7.522699,0.049466
2025-05-30,7.100339,7.443789,0.343445,7.248429,0.068719
2025-05-31,7.374579,7.680779,0.306205,7.52574,0.08137
2025-06-01,6.239019,6.64023,0.401205,6.39753,0.09559
2025-06-02,5.838459,6.08934,0.250876,5.990839,0.054366
2025-06-03,4.444369,5.098999,0.654631,4.803009,0.146083
2025-07-06,7.318039,7.578829,0.260787,7.46047,0.059314
2025-07-07,7.500919,7.590149,0.089231,7.548679,0.017902
2025-07-08,6.983009,7.57776,0.594744,7.29011,0.1327
2025-07-09,6.648719,6.96984,0.321117,6.80562,0.066292
2025-07-10,6.61203,6.689889,0.077863,6.63315,0.012872
2025-07-11,4.434929,4.845719,0.410787,4.587699,0.093359
2025-07-12,4.747729,5.03093,0.283203,4.9036,0.074358
2025-07-13,6.51195,6.625889,0.113935,6.57909,0.030405
2025-07-14,7.272359,7.4126,0.140242,7.348659,0.037699
2025-07-15,7.47228,7.630599,0.158322,7.534749,0.027863
2025-07-16,7.943099,8.12761,0.184512,8.01352,0.031511
2025-07-18,6.871019,7.154769,0.283751,7.03065,0.062261
2025-07-19,7.1363,7.286019,0.149718,7.20201,0.042374
2025-07-20,5.252369,5.64685,0.394479,5.46751,0.106691
2025-07-21,7.04293,7.250279,0.207343,7.14304,0.061413
2025-07-22,7.49722,7.714729,0.2175,7.622179,0.05746
2025-07-23,5.71177,6.2459,0.534133,5.99454,0.151723
2025-07-25,7.69813,8.46722,0.769092,8.09078,0.173172
2025-07-26,7.261,7.4593,0.198295,7.369699,0.037121
2025-07-28,7.38909,7.68617,0.297084,7.511189,0.061714
2025-07-29,6.674129,7.483779,0.809651,7.098179,0.171964
2025-07-30,6.85972,7.129879,0.270161,6.973239,0.043235
