date,minimum,maximum,range,mean,std
2025-04-23,4.76737,4.850639,0.083269,4.80869,0.017856
2025-04-24,5.044779,5.26377,0.218994,5.145199,0.043483
2025-04-25,3.953579,4.151989,0.19841,4.033579,0.037609
2025-04-26,4.92712,5.046309,0.11919,4.983139,0.023896
2025-04-27,5.245389,5.49298,0.247591,5.3692,0.051853
2025-04-28,5.401909,5.58506,0.183155,5.47339,0.04079
2025-04-29,2.89526,3.08446,0.189192,2.96929,0.040484
2025-04-30,2.790299,3.580209,0.789915,3.08519,0.186835
2025-05-01,4.167759,4.305739,0.137983,4.221389,0.031166
2025-05-02,3.065989,3.158999,0.093015,3.10892,0.023744
2025-05-05,3.39523,3.7534,0.358175,3.549679,0.073355
2025-05-07,4.094389,4.633389,0.538998,4.27086,0.119044
2025-05-10,4.11599,4.473919,0.357933,4.264639,0.077932
2025-05-14,4.611619,4.89338,0.28176,4.72205,0.052379
2025-05-15,5.02607,5.28766,0.261595,5.178989,0.045826
2025-05-16,5.08407,5.406599,0.322528,5.204589,0.07041
2025-05-17,5.8368,6.317379,0.48058,5.975719,0.100184
2025-05-18,4.94216,5.45488,0.512723,5.139659,0.104322
2025-05-19,4.78231,5.021619,0.239314,4.867879,0.05688
2025-05-20,5.641789,5.851719,0.209934,5.7388,0.048583
2025-05-21,6.006639,6.25542,0.248775,6.109429,0.049578
2025-05-22,6.029119,6.428919,0.399801,6.184289,0.083223
2025-05-23,6.674449,6.950809,0.276365,6.770339,0.058086
2025-05-24,6.243249,6.565229,0.321974,6.368599,0.062126
2025-05-25,6.441359,6.85851,0.417147,6.564869,0.089298
2025-05-26,6.427569,6.842169,0.414606,6.58994,0.081567
2025-05-27,6.40246,6.910079,0.507619,6.564839,0.114247
2025-05-28,6.94909,7.562689,0.613592,7.1791,0.120816
2025-05-29,7.57525,8.07312,0.497869,7.782999,0.100766
2025-05-30,7.29429,8.075599,0.781311,7.56405,0.163105
2025-05-31,7.63704,8.165579,0.528536,7.839729,0.104414
2025-06-01,6.313409,6.441629,0.128213,6.38707,0.022999
2025-06-02,6.05239,6.39583,0.343436,6.15808,0.070174
2025-06-03,4.687129,4.93903,0.251904,4.796549,0.063613
2025-07-06,7.47305,7.74937,0.27632,7.556759,0.049582
2025-07-07,7.43099,7.75879,0.327798,7.559179,0.060895
2025-07-08,7.403009,7.72693,0.323918,7.527979,0.059507
2025-07-09,6.722929,7.039909,0.316987,6.85231,0.052247
2025-07-10,6.35585,6.81151,0.455662,6.580339,0.084449
2025-07-11,3.97613,4.451879,0.475748,4.22194,0.113343
2025-07-12,4.668029,4.979479,0.311444,4.83751,0.063425
2025-07-13,6.45938,6.74408,0.284705,6.57388,0.054317
2025-07-14,7.26133,7.57425,0.312922,7.373559,0.065985
2025-07-15,7.581069,7.96777,0.386702,7.72202,0.077929
2025-07-16,8.07427,8.57075,0.496484,8.23272,0.100388
2025-07-18,6.706079,6.94524,0.23916,6.79683,0.060384
2025-07-19,6.95128,7.168739,0.217463,7.067299,0.057144
2025-07-20,5.304009,5.4744,0.170388,5.38743,0.043637
2025-07-21,7.03232,7.15325,0.120924,7.090929,0.030836
2025-07-22,7.617619,8.010279,0.392659,7.742809,0.084758
2025-07-23,5.706399,5.90206,0.19565,5.811749,0.0534
2025-07-25,8.185549,8.675999,0.490447,8.359149,0.105802
2025-07-26,7.444349,7.703219,0.258868,7.58533,0.056655
2025-07-28,7.57034,8.20145,0.631119,7.75775,0.133693
2025-07-29,6.990439,7.19078,0.20034,7.102709,0.056613
2025-07-30,7.068809,7.7238,0.654995,7.352419,0.129846
2025-07-31,7.500929,8.01768,0.516752,7.661379,0.099982
2025-08-01,7.462979,8.174289,0.711311,7.662439,0.141279
2025-08-02,6.98775,7.34484,0.357089,7.113719,0.066944
2025-08-03,7.731679,8.55412,0.822435,8.0415,0.159604
2025-08-04,7.27545,7.679259,0.403813,7.39899,0.075535
2025-08-05,7.351109,7.689449,0.338344,7.449079,0.061108
2025-08-06,6.427,6.664949,0.237954,6.546549,0.045017
2025-08-07,6.10468,6.410349,0.305665,6.25753,0.05238
2025-08-08,6.151669,6.36594,0.214267,6.259389,0.036972
2025-08-09,6.720839,6.99771,0.276867,6.81436,0.05002
2025-08-10,7.231379,7.62114,0.389753,7.348279,0.075729
2025-08-11,7.330389,7.98081,0.650416,7.56544,0.131968
2025-08-12,7.440229,7.886139,0.445912,7.617959,0.092231
2025-08-13,7.90842,8.52301,0.614589,8.105549,0.11821
2025-08-18,6.477159,6.71665,0.239489,6.606719,0.064423
2025-08-19,7.15815,7.365039,0.206889,7.217989,0.036569
2025-08-20,6.84315,7.045179,0.202031,6.942599,0.046707
2025-08-21,6.44292,6.635459,0.192548,6.538569,0.035007
2025-08-22,5.90501,6.25928,0.354272,6.020619,0.071533
2025-08-23,5.93516,6.215139,0.27998,6.020669,0.050797
2025-08-24,5.345339,5.54885,0.203507,5.40705,0.036686
2025-08-25,5.962679,6.2925,0.329811,6.09622,0.060786
2025-08-26,6.328979,6.49631,0.167328,6.38946,0.028835
2025-08-28,5.822949,6.0137,0.190752,5.911029,0.041678
2025-08-29,5.84557,6.06577,0.2202,5.92603,0.052913
2025-08-30,6.058539,6.17606,0.117514,6.09903,0.029256
2025-08-31,4.69356,4.799809,0.106248,4.73429,0.027638
2025-09-01,5.461569,5.578209,0.116633,5.510799,0.027054
2025-09-02,5.35012,5.5114,0.16128,5.43099,0.03987
2025-09-03,5.661729,5.78901,0.127278,5.710589,0.030249
2025-09-04,6.043159,6.207129,0.163969,6.13009,0.030742
2025-09-05,5.710149,5.946189,0.236038,5.83156,0.046916
2025-09-06,5.922739,6.284649,0.361912,6.064499,0.069765
2025-09-07,1.912459,2.248029,0.335568,2.07498,0.076479
2025-09-08,4.7775,4.922359,0.144858,4.843729,0.036222
2025-09-09,6.097119,6.18342,0.086294,6.140399,0.01936
2025-09-11,5.825469,6.12962,0.304149,5.942649,0.060243
2025-09-13,6.20029,6.34732,0.147027,6.26767,0.043912
2025-09-14,5.730309,5.866209,0.135901,5.80526,0.032557
2025-09-15,5.63496,5.916369,0.28141,5.759019,0.057274
2025-09-16,5.364769,5.651999,0.287236,5.49559,0.058801
