date,minimum,maximum,range,mean,std
2025-04-23,3.9068,4.02988,0.12308,3.97884,0.032546
2025-04-24,4.194139,4.419799,0.225666,4.33293,0.056983
2025-04-25,2.30446,2.346129,0.041668,2.31588,0.008568
2025-04-26,4.23779,4.38985,0.152054,4.323329,0.041379
2025-04-27,4.673059,4.77226,0.099202,4.736229,0.01768
2025-04-28,4.936029,5.086709,0.150683,5.024559,0.023088
2025-04-29,4.53266,4.78973,0.257068,4.6831,0.063565
2025-04-30,1.140359,1.170109,0.029743,1.157449,0.00503
2025-05-01,3.703289,3.9398,0.236508,3.852159,0.055081
2025-05-02,2.37418,2.55322,0.179043,2.48528,0.039984
2025-05-05,3.487819,3.699879,0.21206,3.62542,0.052439
2025-05-07,4.598649,4.929739,0.331084,4.811739,0.075272
2025-05-10,2.50564,2.72984,0.224199,2.66423,0.045372
2025-05-14,3.437969,3.68981,0.251841,3.60259,0.056399
2025-05-15,4.276329,4.58971,0.313376,4.45759,0.083389
2025-05-16,4.550129,4.675409,0.125279,4.598249,0.030031
2025-05-17,4.77994,5.019839,0.239901,4.934899,0.056658
2025-05-18,2.50006,2.5829,0.082846,2.531209,0.021526
2025-05-19,2.96018,3.170239,0.210063,3.02133,0.04754
2025-05-20,4.24449,4.509709,0.265219,4.390779,0.072515
2025-05-21,4.615109,4.91972,0.304603,4.7895,0.083743
2025-05-22,4.812819,5.09976,0.286942,4.98822,0.070795
2025-05-23,5.10536,5.25985,0.154488,5.192749,0.042912
2025-05-24,5.2093,5.529699,0.320394,5.391129,0.088804
2025-05-25,4.752339,5.099669,0.347328,4.951859,0.09444
2025-05-26,4.611589,4.879769,0.268177,4.768849,0.073026
2025-05-27,5.256949,5.619679,0.362729,5.473169,0.095895
2025-05-28,5.424339,5.829659,0.405317,5.669529,0.106178
2025-05-29,5.301519,5.47859,0.177073,5.37968,0.045258
2025-05-30,5.04156,5.68943,0.647868,5.442609,0.161324
2025-05-31,4.96603,5.2897,0.323673,5.15923,0.08386
2025-06-01,4.35194,4.72969,0.377746,4.571459,0.104794
2025-06-02,4.73077,4.94982,0.21905,4.864799,0.056576
2025-06-03,3.8571,4.11489,0.257789,3.975199,0.064821
2025-07-06,5.537189,5.808869,0.271679,5.67424,0.069961
2025-07-07,5.82416,6.095459,0.271297,5.96884,0.069707
2025-07-08,6.88282,7.143229,0.260416,7.017419,0.058908
2025-07-09,5.030129,5.32977,0.299638,5.23814,0.068115
2025-07-10,2.070549,2.81025,0.739705,2.336829,0.172211
2025-07-11,3.47937,3.849639,0.370272,3.686949,0.103315
2025-07-12,4.34528,4.649779,0.304497,4.530439,0.080467
2025-07-13,4.33427,4.439929,0.105651,4.40072,0.027313
2025-07-14,5.29475,5.569769,0.275014,5.45413,0.076774
2025-07-15,5.76346,5.89052,0.127066,5.82348,0.033057
2025-07-16,5.24058,5.48736,0.246783,5.37331,0.062604
2025-07-18,4.29466,4.415249,0.120595,4.359419,0.031283
2025-07-19,3.663899,3.807899,0.143995,3.744019,0.036261
2025-07-20,3.945359,4.129779,0.184425,4.047349,0.048737
2025-07-21,4.45518,4.52993,0.074747,4.49877,0.020067
2025-07-22,4.635389,4.91976,0.284368,4.80937,0.072764
2025-07-23,5.01266,5.18083,0.168167,5.086609,0.041519
2025-07-25,6.253719,6.509769,0.256056,6.420589,0.055145
