date,minimum,maximum,range,mean,std
2025-04-23,3.909909,4.10652,0.196602,3.98092,0.039236
2025-04-24,4.41727,4.90887,0.491602,4.573609,0.10512
2025-04-25,4.11639,4.813829,0.697436,4.403749,0.136621
2025-04-26,4.39719,4.61814,0.220956,4.47687,0.044984
2025-04-27,4.547619,4.85815,0.310521,4.70514,0.06932
2025-04-28,4.84798,5.09458,0.246595,4.927249,0.054999
2025-04-29,4.808269,5.315859,0.507587,5.04637,0.103936
2025-04-30,1.212,1.508679,0.29668,1.31357,0.059855
2025-05-01,3.45193,4.11989,0.667964,3.67616,0.144648
2025-05-02,2.510119,2.757859,0.24774,2.59383,0.060774
2025-05-05,3.336469,3.514149,0.177683,3.39839,0.041096
2025-05-07,4.225249,4.56326,0.338003,4.39448,0.07536
2025-05-10,2.02218,2.99425,0.972075,2.476599,0.209086
2025-05-14,3.58294,3.950459,0.367523,3.743449,0.094413
2025-05-15,3.72705,4.133419,0.406374,3.90721,0.103096
2025-05-16,4.53769,4.75387,0.216176,4.630959,0.051104
2025-05-17,4.43942,4.85301,0.413594,4.609149,0.098568
2025-05-18,3.968569,4.303329,0.334764,4.11288,0.078733
2025-05-19,2.663029,2.961849,0.29881,2.81206,0.063336
2025-05-20,4.17246,4.50914,0.336681,4.315159,0.079719
2025-05-21,4.7683,5.03834,0.270038,4.87999,0.06266
2025-05-22,4.381969,4.618649,0.236677,4.48284,0.053518
2025-05-23,5.319499,5.880949,0.561453,5.547619,0.109742
2025-05-24,5.34588,5.885879,0.539994,5.53563,0.111334
2025-05-25,5.262199,6.00775,0.745557,5.51979,0.155242
2025-05-26,4.97169,5.46597,0.494278,5.153669,0.098088
2025-05-27,5.63289,6.20382,0.570937,5.859519,0.113131
2025-05-28,5.830009,6.70157,0.871559,6.118879,0.184854
2025-05-29,5.955669,6.793519,0.837855,6.235089,0.17709
2025-05-30,5.68475,6.643929,0.959174,6.00462,0.20194
2025-05-31,5.922739,7.145629,1.22289,6.324739,0.25565
2025-06-01,4.65843,5.86358,1.20516,5.052649,0.255452
2025-06-02,5.23041,5.78409,0.553681,5.42771,0.110348
2025-06-03,3.510679,3.676919,0.16625,3.58714,0.032039
2025-07-06,6.95839,8.305809,1.347419,7.39474,0.283744
2025-07-07,6.800399,7.88871,1.08832,7.144309,0.22904
2025-07-08,7.619599,8.920129,1.300529,8.138629,0.253841
2025-07-09,6.910769,8.314499,1.40373,7.37121,0.294833
2025-07-10,6.60437,7.747889,1.143519,7.029819,0.227666
2025-07-11,4.9836,5.84066,0.857061,5.39891,0.18096
2025-07-12,5.50738,6.502449,0.995063,5.901569,0.195894
2025-07-13,5.481279,6.35292,0.871644,5.80214,0.175785
2025-07-14,6.121019,7.12542,1.0044,6.45835,0.210439
2025-07-15,6.488029,7.29893,0.810899,6.7704,0.164559
2025-07-16,7.800399,9.80838,2.00798,8.460229,0.416438
2025-07-18,5.56537,6.394839,0.829469,5.88704,0.165958
2025-07-19,5.382989,5.981679,0.598695,5.69361,0.130318
2025-07-20,4.737899,5.538269,0.800368,5.030819,0.164465
2025-07-21,5.54993,6.45898,0.909042,5.8701,0.188492
2025-07-22,5.79437,6.830019,1.03565,6.167779,0.212565
2025-07-23,5.985799,6.643869,0.658069,6.246069,0.132713
2025-07-25,6.84841,8.02999,1.181579,7.292069,0.232778
2025-07-26,6.433569,7.63523,1.20166,6.826149,0.253834
2025-07-28,6.820049,7.71751,0.897463,7.192259,0.177361
2025-07-29,6.94153,7.898159,0.956628,7.321849,0.19017
2025-07-30,6.676259,7.813149,1.13689,7.07797,0.228966
2025-07-31,6.621699,8.22632,1.604619,7.1227,0.340193
2025-08-01,6.37435,7.863389,1.48905,6.852029,0.312593
2025-08-02,6.641059,8.040499,1.39944,7.087059,0.294081
2025-08-03,6.96034,8.657799,1.69745,7.502359,0.355149
2025-08-04,6.50705,8.32283,1.81579,7.08114,0.385262
2025-08-05,6.634809,8.48363,1.848819,7.214379,0.39502
2025-08-06,6.39335,8.336919,1.94357,7.01933,0.411345
2025-08-07,6.36068,7.81084,1.45015,6.84424,0.309403
2025-08-08,5.996459,7.245369,1.248909,6.425779,0.26945
2025-08-09,5.55376,6.205999,0.652239,5.80733,0.143364
2025-08-10,6.583089,8.4579,1.874809,7.213679,0.397688
2025-08-11,4.53449,6.088109,1.553619,5.176199,0.342774
2025-08-12,5.376259,7.287429,1.91118,6.05038,0.410847
2025-08-13,5.31581,6.740389,1.424579,5.82698,0.310294
2025-08-18,5.10151,6.4818,1.38029,5.59179,0.30221
2025-08-19,5.15564,6.31852,1.162879,5.548089,0.248477
2025-08-20,5.164669,5.8948,0.730123,5.399,0.15153
2025-08-21,4.60956,5.34986,0.740302,4.83993,0.156604
2025-08-22,5.44145,6.63009,1.18865,5.83082,0.241603
2025-08-23,5.576489,6.760379,1.183899,5.95719,0.247721
