date,minimum,maximum,range,mean,std
2025-04-23,4.08197,4.178209,0.096239,4.136069,0.018839
2025-04-24,4.400869,4.481669,0.080795,4.425819,0.01696
2025-04-25,3.989259,4.569029,0.579777,4.350419,0.109907
2025-04-26,4.61771,4.924069,0.306351,4.82032,0.063924
2025-04-27,4.662089,4.80378,0.141683,4.70976,0.038212
2025-04-28,4.243669,4.438089,0.194411,4.338099,0.047844
2025-04-29,3.560179,3.705499,0.145324,3.607259,0.033407
2025-04-30,0.864253,0.98462,0.120366,0.934607,0.024177
2025-05-01,3.072949,3.16616,0.093213,3.12187,0.017545
2025-05-02,1.801589,2.00264,0.201049,1.867239,0.05463
2025-05-05,3.450409,3.850879,0.400467,3.692369,0.076139
2025-05-07,3.97982,4.359509,0.379687,4.182519,0.071021
2025-05-10,2.99548,3.448479,0.453002,3.27019,0.094455
2025-05-14,3.838999,4.247469,0.408473,4.038109,0.078371
2025-05-15,4.249199,4.708889,0.459693,4.51667,0.085113
2025-05-16,4.966229,5.1946,0.22837,5.093979,0.044182
2025-05-17,4.30281,4.518799,0.215987,4.39118,0.043422
2025-05-18,4.136899,4.236489,0.099595,4.192049,0.02129
2025-05-19,3.281389,3.443419,0.162034,3.364449,0.033772
2025-05-20,4.679289,4.960969,0.281684,4.80214,0.059172
2025-05-21,4.83125,4.909019,0.07777,4.887919,0.015921
2025-05-22,4.57269,4.905079,0.332394,4.759379,0.068274
2025-05-23,5.535669,5.99615,0.460473,5.779069,0.094853
2025-05-24,5.144539,5.372159,0.227622,5.24233,0.04591
2025-05-25,5.23682,5.489649,0.252828,5.37411,0.056446
2025-05-26,5.13912,5.2628,0.123676,5.2044,0.02877
2025-05-27,5.622049,5.733799,0.111748,5.666729,0.02946
2025-05-28,5.635099,5.937759,0.302666,5.751669,0.056606
2025-05-29,5.588119,5.91411,0.325985,5.74909,0.066446
2025-05-30,5.41725,5.747149,0.329896,5.58337,0.071181
2025-05-31,5.454689,5.94819,0.493497,5.73984,0.112677
2025-06-01,4.22484,4.67749,0.45265,4.49759,0.106086
2025-06-02,5.206329,5.372889,0.166556,5.295489,0.03684
2025-06-03,3.196049,3.51044,0.314384,3.3103,0.084177
2025-07-06,6.133309,6.63069,0.497381,6.40741,0.111542
2025-07-07,6.977789,7.235599,0.257813,7.08322,0.056083
2025-07-08,7.183949,7.56119,0.377232,7.30413,0.098994
2025-07-09,6.365159,6.617579,0.25242,6.50051,0.059996
2025-07-10,5.905479,6.235499,0.330022,6.039659,0.079976
2025-07-11,2.963829,3.17946,0.215632,3.110719,0.04791
2025-07-12,5.03273,5.32839,0.295659,5.12157,0.08031
2025-07-13,5.22348,5.45016,0.226683,5.3266,0.055399
2025-07-14,6.073299,6.24828,0.17498,6.15594,0.043085
2025-07-15,6.42321,6.62615,0.202942,6.50744,0.038822
2025-07-16,6.244029,7.09028,0.846243,6.73214,0.196667
2025-07-18,5.655379,5.89088,0.235494,5.78309,0.053103
2025-07-19,5.331309,5.61984,0.288531,5.487899,0.062474
2025-07-20,4.92639,5.319019,0.392628,5.175809,0.084472
2025-07-21,5.92177,6.261839,0.34007,6.113379,0.076515
2025-07-22,5.841209,6.21535,0.374141,6.061979,0.089135
2025-07-23,4.91548,5.48078,0.565303,5.208819,0.11738
2025-07-25,6.703639,7.44351,0.739875,7.00466,0.176614
2025-07-26,6.54926,6.65912,0.109867,6.62993,0.027184
2025-07-28,7.257229,7.646629,0.389398,7.39903,0.095326
