date,minimum,maximum,range,mean,std
2025-04-23,4.397119,4.63428,0.237158,4.50673,0.052647
2025-04-24,4.889619,5.07103,0.181408,4.96184,0.040544
2025-04-25,3.138979,3.739759,0.600776,3.431319,0.151084
2025-04-26,4.637569,4.868259,0.230685,4.755609,0.043911
2025-04-27,4.96569,5.039959,0.07427,5.015059,0.014816
2025-04-28,5.19277,5.34181,0.149038,5.27395,0.041922
2025-04-29,3.899749,4.10128,0.201526,4.0127,0.048042
2025-04-30,1.41251,1.747519,0.335004,1.58378,0.078967
2025-05-01,3.60607,3.975579,0.369509,3.801209,0.086164
2025-05-02,2.2369,2.66697,0.43007,2.461469,0.101338
2025-05-05,2.934779,3.29059,0.355807,3.111939,0.075836
2025-05-07,3.982539,4.058539,0.076001,4.016839,0.019209
2025-05-10,3.55618,3.83568,0.2795,3.6679,0.062145
2025-05-14,4.14935,4.425039,0.275687,4.29041,0.070201
2025-05-15,4.65491,4.84482,0.189915,4.73817,0.043795
2025-05-16,4.9383,5.11007,0.17177,5.025559,0.040405
2025-05-17,5.16449,5.1999,0.035408,5.17712,0.008086
2025-05-18,3.29058,3.58149,0.290903,3.432539,0.078206
2025-05-19,3.729229,3.932559,0.20333,3.823189,0.047218
2025-05-20,4.90778,5.148719,0.240948,5.006569,0.05258
2025-05-21,5.01068,5.247499,0.236817,5.128399,0.050418
2025-05-22,5.229159,5.53021,0.301052,5.352499,0.06817
2025-05-23,5.83433,6.04823,0.213906,5.947609,0.04494
2025-05-24,6.021379,6.117859,0.09648,6.069809,0.019204
2025-05-25,5.526609,5.82951,0.302897,5.68307,0.069845
2025-05-26,5.23704,5.50922,0.272179,5.400549,0.056738
2025-05-27,5.838039,6.118159,0.280117,5.96882,0.051824
2025-05-28,6.131299,6.441969,0.310671,6.255449,0.060398
2025-05-29,6.69114,6.94559,0.254451,6.78839,0.062996
2025-05-30,6.051569,6.230169,0.178601,6.141099,0.03109
2025-05-31,6.288959,6.46986,0.180898,6.38848,0.038233
2025-06-01,4.529769,4.883659,0.353888,4.76161,0.078971
2025-06-02,4.981029,5.30866,0.327625,5.166029,0.077311
2025-06-03,4.061679,4.332009,0.270328,4.21033,0.058007
2025-07-06,6.621089,6.924339,0.303245,6.812459,0.070618
2025-07-07,6.39904,6.681789,0.282743,6.55771,0.057156
2025-07-08,7.140789,7.68409,0.543301,7.388289,0.129039
2025-07-09,6.286409,6.434659,0.148249,6.376349,0.034436
2025-07-10,5.201819,5.61383,0.412007,5.36238,0.113794
2025-07-11,2.80919,3.00939,0.200197,2.898619,0.044951
2025-07-12,4.59951,5.019519,0.420011,4.83444,0.07414
2025-07-13,5.64933,5.92491,0.275586,5.811699,0.059771
2025-07-14,6.332719,6.662209,0.329486,6.50717,0.062114
2025-07-15,6.912849,7.268839,0.355994,7.03371,0.078802
2025-07-16,6.84636,7.284319,0.437958,7.05204,0.092532
2025-07-18,5.647019,5.927269,0.280245,5.82487,0.065393
2025-07-19,5.561089,5.81265,0.251565,5.715439,0.057073
2025-07-20,4.97452,5.18299,0.20847,5.100319,0.044289
2025-07-21,6.056479,6.31087,0.254384,6.16306,0.051571
2025-07-22,6.25014,6.60297,0.352831,6.444779,0.074096
2025-07-23,5.647089,5.98645,0.339365,5.79611,0.066548
2025-07-25,7.32982,7.65104,0.321222,7.45862,0.077678
2025-07-26,7.280499,7.491409,0.210906,7.355879,0.046206
2025-07-28,6.830719,7.16162,0.330893,6.9972,0.059277
2025-07-29,7.70967,8.4159,0.706225,8.009229,0.174423
2025-07-30,7.210169,7.377799,0.167634,7.266739,0.042329
2025-07-31,6.91012,7.1434,0.233273,6.99164,0.057659
2025-08-01,6.22271,6.471749,0.249037,6.3824,0.061456
2025-08-02,6.299409,6.52114,0.221731,6.387249,0.042715
2025-08-03,7.12229,7.336259,0.213975,7.19242,0.044664
2025-08-04,6.793749,6.88322,0.089463,6.82177,0.019814
2025-08-05,6.4288,6.576539,0.147744,6.489369,0.037648
2025-08-06,6.188119,6.386879,0.198761,6.315239,0.042325
2025-08-07,5.83264,6.01104,0.178398,5.94633,0.033329
2025-08-08,5.794199,5.93231,0.138111,5.88348,0.026326
2025-08-09,6.37992,6.56605,0.186131,6.48436,0.03472
2025-08-10,6.72265,6.9965,0.273847,6.816619,0.071399
2025-08-11,6.320449,6.66725,0.346796,6.465129,0.083421
2025-08-12,5.090869,5.512619,0.42175,5.311779,0.100904
2025-08-13,6.50599,6.81748,0.311491,6.706369,0.072702
2025-08-18,5.68162,5.96877,0.287147,5.852859,0.072167
2025-08-19,5.89615,6.21701,0.320863,6.08861,0.069938
2025-08-20,5.80564,6.198689,0.393054,5.96358,0.081512
2025-08-21,5.398419,5.79357,0.395152,5.53909,0.08925
2025-08-22,5.45614,5.61419,0.158048,5.52503,0.027984
2025-08-23,5.52851,5.84351,0.314999,5.7135,0.068699
2025-08-24,5.26651,5.56531,0.298799,5.382369,0.062958
2025-08-25,5.3585,5.670929,0.312431,5.48359,0.062871
2025-08-26,5.655409,6.071579,0.416175,5.81822,0.093345
2025-08-28,5.06082,5.20022,0.139399,5.14375,0.031062
2025-08-29,4.55523,4.77112,0.215891,4.69007,0.048523
2025-08-30,4.59772,4.88532,0.287597,4.732429,0.076255
