date,minimum,maximum,range,mean,std
2025-04-23,3.981329,4.130159,0.148829,4.04674,0.028012
2025-04-24,4.339849,4.5275,0.187649,4.445529,0.037741
2025-04-25,2.51055,3.73318,1.22262,3.078219,0.311751
2025-04-26,4.14061,4.531789,0.39118,4.35886,0.103196
2025-04-27,4.76935,4.83369,0.064342,4.808959,0.014646
2025-04-28,4.648369,4.91051,0.262136,4.809669,0.066858
2025-04-29,3.891089,4.17534,0.284253,4.063399,0.070298
2025-04-30,1.08594,1.311879,0.225933,1.186579,0.058659
2025-05-01,3.178469,3.67983,0.501358,3.419559,0.130214
2025-05-02,2.08977,2.47018,0.380416,2.261679,0.099535
2025-05-05,2.65628,3.32169,0.665409,2.994729,0.153312
2025-05-07,3.956589,4.14933,0.192745,4.03516,0.046756
2025-05-10,3.03326,3.347219,0.313964,3.185019,0.071642
2025-05-14,3.578779,3.807369,0.228595,3.687829,0.049716
2025-05-15,4.113039,4.32876,0.215725,4.244719,0.041352
2025-05-16,4.860789,4.95125,0.090461,4.906449,0.024371
2025-05-17,4.49343,4.823599,0.330173,4.657929,0.086672
2025-05-18,2.880029,3.78395,0.903921,3.295259,0.227383
2025-05-19,3.084239,3.398819,0.314579,3.244519,0.071193
2025-05-20,4.339039,4.542449,0.203412,4.457699,0.043313
2025-05-21,4.498849,4.74447,0.245627,4.62537,0.059175
2025-05-22,4.45121,4.6988,0.2476,4.55524,0.04635
2025-05-23,5.255449,5.62654,0.371082,5.466989,0.084586
2025-05-24,5.403069,5.57566,0.172591,5.47827,0.043084
2025-05-25,4.844279,5.39187,0.547587,5.117949,0.142235
2025-05-26,4.429019,5.012549,0.583527,4.74097,0.152933
2025-05-27,5.17812,5.58604,0.407916,5.397029,0.107927
2025-05-28,5.37926,5.709209,0.32995,5.56827,0.085237
2025-05-29,5.938159,6.169159,0.231004,6.05349,0.052946
2025-05-30,5.216149,5.606239,0.390091,5.451869,0.103702
2025-05-31,5.36879,5.91343,0.54464,5.70934,0.151769
2025-06-01,3.658649,4.660359,1.00171,4.19467,0.262593
2025-06-02,4.410059,5.12795,0.717891,4.759729,0.183439
2025-06-03,3.33434,3.625629,0.291292,3.494349,0.05449
2025-07-06,5.87925,6.60825,0.729003,6.329229,0.194583
2025-07-07,5.943109,6.78631,0.843204,6.45799,0.224517
2025-07-08,7.43623,7.600739,0.164504,7.525129,0.032709
2025-07-09,5.765799,6.44107,0.675262,6.20653,0.184676
2025-07-10,4.782209,5.75391,0.971693,5.29928,0.233444
2025-07-11,2.514859,2.90664,0.391773,2.716459,0.084728
2025-07-12,3.67333,4.777349,1.104019,4.250959,0.264371
2025-07-13,4.98398,5.403779,0.419791,5.23912,0.098625
2025-07-14,5.44527,6.09104,0.645772,5.841139,0.16034
2025-07-15,6.204889,6.537879,0.332985,6.44712,0.083535
2025-07-16,6.127439,7.15038,1.02294,6.76376,0.262843
2025-07-18,4.969659,5.68234,0.712674,5.36418,0.170359
2025-07-19,4.899169,5.51411,0.614942,5.25532,0.14241
2025-07-20,4.53385,4.90877,0.37492,4.71138,0.076753
2025-07-21,5.378729,5.81369,0.434953,5.65741,0.109401
2025-07-22,5.455689,6.21245,0.756757,5.9162,0.191532
2025-07-23,4.999509,5.49275,0.493234,5.305099,0.128236
2025-07-25,7.23715,7.562019,0.324873,7.434569,0.070362
2025-07-26,6.622099,6.872779,0.250683,6.769549,0.049865
2025-07-28,6.08479,7.241469,1.156679,6.78522,0.298222
