date,minimum,maximum,range,mean,std
2025-04-23,4.69313,4.94673,0.253601,4.75148,0.041313
2025-04-24,4.99371,5.323579,0.329869,5.05599,0.052111
2025-04-25,3.78005,3.91599,0.13594,3.836889,0.031195
2025-04-26,4.740059,4.90529,0.165227,4.815839,0.039705
2025-04-27,5.14761,5.665219,0.517611,5.242139,0.084608
2025-04-28,5.229849,5.7635,0.533649,5.434,0.113641
2025-04-29,2.380379,3.406759,1.026389,2.75323,0.202902
2025-04-30,1.59028,2.466459,0.876173,1.927129,0.194298
2025-05-01,3.620239,4.218319,0.598082,3.857049,0.135629
2025-05-02,2.760099,3.025629,0.265525,2.855299,0.064172
2025-05-05,2.92012,3.490859,0.570734,3.078069,0.115572
2025-05-07,3.674319,4.0274,0.353083,3.78836,0.070211
2025-05-10,3.820039,3.993839,0.173803,3.865499,0.037882
2025-05-14,4.208769,4.74089,0.532124,4.43163,0.090538
2025-05-15,4.805759,5.29679,0.491026,5.000989,0.089809
2025-05-16,4.220399,5.073969,0.853568,4.60092,0.184735
2025-05-17,5.485079,5.75506,0.269988,5.623869,0.053647
2025-05-18,4.19843,4.978119,0.779698,4.49549,0.139907
2025-05-19,4.38007,4.67421,0.294138,4.465799,0.064684
2025-05-20,5.30065,5.530179,0.229535,5.468239,0.044043
2025-05-21,5.64715,6.00289,0.35574,5.87574,0.065559
2025-05-22,5.636189,5.93657,0.300374,5.79214,0.05645
2025-05-23,6.30142,6.71812,0.416705,6.442679,0.072172
2025-05-24,6.02192,6.389949,0.368034,6.25848,0.076121
2025-05-25,5.99547,6.46983,0.474362,6.31674,0.086343
2025-05-26,5.979939,6.569759,0.589827,6.350749,0.111593
2025-05-27,6.023089,6.549819,0.52673,6.34883,0.104106
2025-05-28,6.49313,7.248149,0.755024,6.893089,0.120824
2025-05-29,6.925179,8.08845,1.163269,7.30762,0.178026
2025-05-30,6.52846,7.51055,0.982093,6.93197,0.151216
2025-05-31,6.89892,8.294879,1.395969,7.301579,0.240364
2025-06-01,5.923439,6.81223,0.88879,6.203999,0.142914
2025-06-02,5.600369,6.11833,0.517961,5.81851,0.099421
2025-06-03,4.10021,4.78376,0.683552,4.29572,0.126898
2025-07-06,7.17348,7.650169,0.476695,7.397319,0.071555
2025-07-07,7.042429,7.552269,0.509844,7.294149,0.083548
2025-07-08,7.103919,7.69711,0.593183,7.299789,0.117413
2025-07-09,6.215149,7.091589,0.876437,6.656909,0.16242
2025-07-10,5.77049,6.76307,0.992582,6.219359,0.202571
2025-07-11,3.320549,4.67781,1.357259,3.838419,0.277644
2025-07-12,4.364669,4.653699,0.289036,4.539319,0.07041
2025-07-13,6.01632,6.455049,0.438735,6.318659,0.086939
2025-07-14,6.774789,7.25565,0.480854,7.05836,0.117877
2025-07-15,7.08824,7.857779,0.769541,7.41972,0.155088
2025-07-16,7.47066,8.169429,0.698772,7.836619,0.140613
2025-07-18,6.004189,7.202169,1.197989,6.63174,0.222251
2025-07-19,6.366529,7.23505,0.868519,6.80061,0.177263
2025-07-20,5.076149,5.298039,0.221891,5.19395,0.040196
2025-07-21,6.57971,7.211679,0.631977,6.884809,0.128429
2025-07-22,6.86283,7.76721,0.904386,7.33335,0.168546
2025-07-23,5.211559,5.699389,0.48783,5.51658,0.092004
2025-07-25,8.250229,9.54026,1.290019,8.4855,0.201047
2025-07-26,7.3379,8.05967,0.721773,7.751729,0.155021
2025-07-28,6.9506,7.512829,0.562228,7.24766,0.134441
2025-07-29,7.18585,7.683499,0.497651,7.40351,0.122804
2025-07-30,6.758329,7.51064,0.752309,7.03652,0.143307
