date,minimum,maximum,range,mean,std
2025-04-23,4.677149,4.796199,0.119052,4.746419,0.025624
2025-04-24,4.97208,5.004829,0.032749,4.991749,0.008128
2025-04-25,3.803119,3.89842,0.095293,3.83853,0.019851
2025-04-26,4.650179,4.87017,0.21999,4.773459,0.054628
2025-04-27,4.886119,5.06286,0.176736,4.98009,0.048835
2025-04-28,4.602099,5.109889,0.507794,4.926919,0.134095
2025-04-29,2.466779,2.869479,0.402698,2.716029,0.097015
2025-04-30,2.40526,2.72916,0.323902,2.573169,0.070873
2025-05-01,3.44227,3.876049,0.433775,3.731879,0.102222
2025-05-02,2.61202,2.99252,0.380497,2.84363,0.07843
2025-05-05,2.672849,2.963219,0.290369,2.85156,0.06403
2025-05-07,2.914139,3.487279,0.573139,3.24498,0.135664
2025-05-10,3.76389,3.998699,0.23481,3.92898,0.032953
2025-05-14,3.69403,3.96916,0.27513,3.844719,0.06131
2025-05-15,4.281879,4.58542,0.303541,4.45058,0.072352
2025-05-16,4.50176,4.748879,0.247113,4.67499,0.047771
2025-05-17,5.04614,5.475619,0.42948,5.29921,0.063211
2025-05-18,3.53987,3.87381,0.333941,3.688549,0.057479
2025-05-19,4.355639,4.616409,0.260769,4.49371,0.047607
2025-05-20,4.84495,5.14338,0.298438,5.04365,0.044559
2025-05-21,5.055109,5.339179,0.284079,5.258259,0.048433
2025-05-22,5.241499,5.460169,0.218673,5.392169,0.038498
2025-05-23,5.76625,6.08474,0.318495,5.986579,0.048057
2025-05-24,5.500969,5.968309,0.467332,5.79051,0.070078
2025-05-25,5.239319,5.650179,0.41086,5.516439,0.061101
2025-05-26,5.169939,5.59913,0.429188,5.461649,0.064418
2025-05-27,5.42069,5.98286,0.562177,5.73471,0.094127
2025-05-28,5.890689,6.347539,0.456849,6.161439,0.070532
2025-05-29,6.171309,6.789,0.617686,6.52259,0.097628
2025-05-30,5.718289,6.21703,0.498739,6.04369,0.071193
2025-05-31,5.706699,6.29085,0.584152,6.08427,0.085966
2025-06-01,5.275619,5.63137,0.355749,5.46388,0.047832
2025-06-02,4.927,5.28302,0.356027,5.160729,0.055307
2025-06-03,4.1984,4.333889,0.13549,4.284709,0.020689
2025-07-06,6.371739,6.82558,0.453842,6.580319,0.112902
2025-07-07,6.53071,6.725949,0.195243,6.588819,0.044638
2025-07-08,6.332409,6.68165,0.349245,6.49206,0.082306
