date,minimum,maximum,range,mean,std
2025-04-23,5.4141,5.94947,0.535372,5.73948,0.147863
2025-04-24,5.303919,5.53979,0.235875,5.452139,0.06434
2025-04-25,4.57698,5.219349,0.642367,4.964049,0.177626
2025-04-26,5.61697,6.31929,0.702327,6.04194,0.193918
2025-04-27,5.287169,5.42987,0.142708,5.37582,0.039328
2025-04-28,5.566689,5.669909,0.103215,5.630539,0.028289
2025-04-29,3.19841,3.37982,0.181409,3.30853,0.050495
2025-04-30,3.695349,3.79992,0.10457,3.765969,0.027638
2025-05-01,4.170139,4.28867,0.118533,4.220139,0.033456
2025-05-02,3.66487,3.97966,0.314783,3.84994,0.088413
2025-05-05,3.67578,3.8099,0.134119,3.76247,0.036412
2025-05-07,4.336639,4.569769,0.233124,4.47734,0.065327
2025-05-10,4.43127,4.5299,0.098631,4.4923,0.027183
2025-05-14,5.403329,6.319049,0.915719,5.94982,0.255181
2025-05-15,5.59481,6.14939,0.55458,5.921299,0.155282
2025-05-16,5.7462,6.349319,0.603115,6.09708,0.169771
2025-05-17,5.884009,6.399409,0.515398,6.181749,0.145594
2025-05-18,5.13244,5.299789,0.167354,5.22794,0.047522
2025-05-19,4.640279,4.874169,0.233896,4.73952,0.065569
2025-05-20,6.65772,7.549069,0.891345,7.1879,0.249619
2025-05-21,7.105519,8.418569,1.31306,7.877089,0.369262
2025-05-22,7.367929,8.708539,1.34061,8.157529,0.374825
2025-05-23,6.287209,6.373469,0.086261,6.310739,0.020798
2025-05-24,5.30029,5.60615,0.305866,5.418719,0.083941
2025-05-25,6.46911,6.679749,0.210637,6.589019,0.06002
2025-05-26,6.45268,6.60409,0.151407,6.525559,0.038391
2025-05-27,6.80591,7.84884,1.04294,7.41481,0.294128
2025-05-28,6.79214,6.92982,0.137673,6.86709,0.040462
2025-05-29,7.420239,7.60679,0.186551,7.50215,0.052876
2025-05-30,7.59972,7.73989,0.140166,7.68964,0.038278
2025-05-31,6.50015,6.720139,0.219997,6.57556,0.059654
2025-06-01,5.565299,5.72585,0.16055,5.61493,0.038744
2025-06-02,4.800419,5.253419,0.453,4.97442,0.123547
2025-06-03,6.0275,7.018939,0.991437,6.61458,0.276603
2025-07-06,6.63664,6.753859,0.117215,6.671339,0.029881
2025-07-07,7.58894,8.10935,0.520408,7.882699,0.148699
2025-07-08,4.281099,5.44468,1.16357,4.73285,0.319981
2025-07-09,5.520349,5.944059,0.423707,5.675099,0.114202
2025-07-10,6.56437,6.9495,0.385129,6.779069,0.110229
2025-07-11,5.585199,6.81862,1.23343,6.30735,0.345429
2025-07-12,5.446119,6.21916,0.773041,5.90169,0.215742
2025-07-13,6.78378,7.44922,0.665441,7.167319,0.187969
2025-07-14,8.00895,9.3385,1.32955,8.782899,0.373659
2025-07-15,7.87054,8.6491,0.778554,8.319459,0.220064
2025-07-16,7.79257,8.009699,0.217134,7.91474,0.059779
2025-07-18,7.951889,9.548299,1.59641,8.89894,0.444449
2025-07-19,7.85689,9.09862,1.241729,8.584139,0.3479
2025-07-20,6.452539,7.878489,1.42595,7.29999,0.396483
2025-07-21,7.85585,9.018699,1.16285,8.53635,0.326067
2025-07-22,7.930009,8.739009,0.808993,8.388279,0.230805
2025-07-23,7.57129,8.8886,1.317309,8.35319,0.367662
2025-07-25,7.10011,7.184629,0.084518,7.137539,0.024199
2025-07-26,7.07773,7.15988,0.08215,7.121739,0.023543
2025-07-28,7.592259,8.079369,0.487112,7.864029,0.139327
2025-07-29,5.24056,5.831669,0.591103,5.46985,0.162098
2025-07-30,6.5801,6.693059,0.112957,6.622169,0.030209
2025-07-31,6.886209,6.92993,0.043727,6.91306,0.010271
2025-08-01,6.570169,6.63977,0.069599,6.60408,0.012716
2025-08-02,6.79851,7.08965,0.291141,6.96423,0.082892
2025-08-03,7.0734,7.24977,0.176369,7.179649,0.044375
2025-08-04,5.920199,6.200129,0.279926,6.0183,0.076044
2025-08-05,6.177519,6.27333,0.095815,6.206719,0.022155
2025-08-06,5.22033,5.59074,0.370409,5.356939,0.098293
2025-08-07,5.69498,5.845839,0.150864,5.73748,0.038124
2025-08-08,5.50009,5.643959,0.143873,5.545489,0.038207
