date,minimum,maximum,range,mean,std
2025-04-23,4.900109,5.82277,0.922652,5.263199,0.225159
2025-04-24,5.151909,5.903309,0.751396,5.411109,0.192873
2025-04-25,3.91468,4.704559,0.789883,4.259329,0.187159
2025-04-26,4.71295,6.040339,1.327379,5.28001,0.311993
2025-04-27,5.191899,5.54685,0.35495,5.316269,0.089783
2025-04-28,5.36342,5.6984,0.334984,5.526959,0.080154
2025-04-29,3.0127,3.58523,0.572534,3.24304,0.13233
2025-04-30,3.684499,4.28457,0.600069,3.88905,0.155404
2025-05-01,4.256259,4.676149,0.41989,4.414289,0.098102
2025-05-02,3.207439,3.92457,0.717127,3.52955,0.159415
2025-05-05,3.479899,4.352509,0.872605,3.79414,0.221292
2025-05-07,4.043769,4.99129,0.947521,4.39789,0.221643
2025-05-10,4.217929,5.04215,0.824225,4.520639,0.192024
2025-05-14,4.59698,5.9092,1.312219,5.100679,0.317945
2025-05-15,4.786749,6.06928,1.282539,5.326399,0.28819
2025-05-16,5.03001,5.576149,0.546137,5.31544,0.121601
2025-05-17,5.315189,5.63062,0.315423,5.4211,0.070198
2025-05-18,4.739769,5.026959,0.287182,4.910309,0.065849
2025-05-19,4.74863,6.245379,1.49676,5.27226,0.357641
2025-05-20,5.64622,7.71174,2.06553,6.427229,0.488516
2025-05-21,5.779429,6.685009,0.905583,6.25365,0.206607
2025-05-22,6.10121,7.271299,1.170089,6.612619,0.268453
2025-05-23,6.03036,6.637609,0.607254,6.17995,0.144226
2025-05-24,5.470849,5.86879,0.39794,5.599929,0.089538
2025-05-25,6.243509,6.404139,0.160635,6.277619,0.029955
2025-05-26,6.31046,6.72623,0.415771,6.405119,0.091734
2025-05-27,5.94956,6.19851,0.248952,6.046539,0.061485
2025-05-28,6.46805,6.842909,0.374859,6.62649,0.069865
2025-05-29,7.66017,8.68972,1.029549,7.998419,0.260268
2025-05-30,7.467609,8.470009,1.0024,7.79718,0.254705
2025-05-31,5.9941,6.95753,0.963437,6.398399,0.221928
2025-06-01,3.99598,6.01376,2.01778,5.192049,0.492343
2025-06-02,5.13844,5.718979,0.580542,5.3042,0.118302
2025-06-03,4.848889,6.54687,1.69798,5.568349,0.390181
2025-07-06,5.98535,6.89189,0.906534,6.42526,0.204791
2025-07-07,6.525139,7.33684,0.811698,6.901179,0.172747
2025-07-08,4.06674,6.424699,2.357959,5.401219,0.562452
2025-07-09,5.027239,6.33054,1.3033,5.694399,0.311269
2025-07-10,5.68342,6.44075,0.757326,5.95866,0.168413
2025-07-11,4.0265,5.5584,1.531909,4.73888,0.338402
2025-07-12,4.570799,5.315209,0.74441,4.9284,0.168953
2025-07-13,5.84387,6.421189,0.577324,6.11918,0.114892
2025-07-14,6.623499,7.22966,0.60616,6.90387,0.126314
2025-07-15,6.686069,7.467299,0.781238,7.09341,0.172676
2025-07-16,6.895909,7.80705,0.911143,7.35403,0.200844
2025-07-18,6.25429,8.51154,2.25725,7.154409,0.531759
2025-07-19,6.322609,7.719799,1.397189,6.98152,0.311883
2025-07-20,4.842999,6.992839,2.14984,5.715189,0.505586
2025-07-21,6.39056,7.809269,1.418699,7.052249,0.315104
2025-07-22,6.69524,7.590199,0.894968,6.94841,0.203053
2025-07-23,6.4015,8.362939,1.961439,7.13983,0.469426
2025-07-25,7.170849,7.33158,0.160724,7.22869,0.033997
2025-07-26,6.800839,7.134719,0.333878,6.907499,0.073785
2025-07-28,6.198299,7.438029,1.23973,6.82566,0.274751
2025-07-29,5.07971,6.391369,1.31166,5.846429,0.318434
2025-07-30,6.600259,6.864099,0.263839,6.7009,0.049851
2025-07-31,6.59425,6.931139,0.336888,6.699749,0.062183
2025-08-01,5.893879,6.732769,0.838891,6.231949,0.178779
2025-08-02,6.37971,6.682899,0.303189,6.469069,0.056175
2025-08-03,6.12544,7.06367,0.938233,6.559599,0.210646
2025-08-04,5.542449,6.46747,0.925023,5.82276,0.213076
2025-08-05,5.464719,6.394279,0.929565,5.877399,0.212595
2025-08-06,5.281489,5.90076,0.619269,5.494019,0.137628
2025-08-07,5.16343,5.98178,0.818343,5.486629,0.181082
2025-08-08,4.925759,5.82199,0.896224,5.39088,0.207687
2025-08-09,5.06637,6.11167,1.0453,5.59563,0.241934
2025-08-10,6.263949,6.975039,0.711094,6.603789,0.165053
2025-08-11,7.35261,7.768149,0.415536,7.517829,0.089806
2025-08-12,7.539179,7.888869,0.349689,7.697519,0.064898
2025-08-13,6.72447,7.372879,0.648406,7.117949,0.167544
