date,minimum,maximum,range,mean,std
2025-04-23,4.508739,4.722949,0.214202,4.641799,0.036517
2025-04-24,4.490729,5.58888,1.09815,5.232289,0.228617
2025-04-25,2.90538,4.02469,1.11931,3.74373,0.223546
2025-04-26,3.461309,4.3088,0.847488,3.837729,0.185799
2025-04-27,4.597799,5.46922,0.871421,5.215939,0.178176
2025-04-28,4.880179,5.095039,0.214855,4.963079,0.051357
2025-04-29,1.16293,3.03922,1.876289,2.03547,0.452214
2025-04-30,2.681639,3.71636,1.034719,3.16861,0.252377
2025-05-01,3.091769,4.124919,1.033139,3.614749,0.262302
2025-05-02,0.813633,3.118069,2.30444,1.89679,0.560845
2025-05-05,1.862499,3.35727,1.494779,2.59887,0.372779
2025-05-07,2.8115,3.71373,0.90223,3.24902,0.214915
2025-05-10,3.341,3.91821,0.577211,3.63541,0.144402
2025-05-14,3.101819,4.20059,1.09878,3.62747,0.255048
2025-05-15,2.692549,4.18647,1.493929,3.43787,0.365224
2025-05-16,4.228179,4.71247,0.484293,4.526329,0.084112
2025-05-17,4.59462,5.658919,1.064309,5.31894,0.221064
2025-05-18,4.20766,4.569779,0.362125,4.486609,0.081431
2025-05-19,2.97213,4.264989,1.29286,3.584209,0.295145
2025-05-20,4.041399,5.03443,0.99303,4.430799,0.211686
2025-05-21,4.51033,5.21604,0.705711,5.04539,0.155719
2025-05-22,4.7213,5.82315,1.10185,5.405189,0.183519
2025-05-23,4.87896,5.877009,0.998048,5.49829,0.163038
2025-05-24,4.89411,6.11869,1.22458,5.70977,0.256036
2025-05-25,5.167009,7.16796,2.00096,6.52285,0.413354
2025-05-26,5.135099,7.71701,2.581899,6.78935,0.549001
2025-05-27,5.135389,7.027609,1.89223,6.298989,0.412133
2025-05-28,5.398789,7.79712,2.398329,6.911759,0.518646
2025-05-29,6.319439,9.69641,3.37697,8.51193,0.728613
2025-05-30,6.001599,9.79551,3.79391,8.40721,0.810146
2025-05-31,5.609789,8.4061,2.796309,7.23282,0.640191
2025-06-01,5.141679,6.847829,1.70615,6.184549,0.379366
2025-06-02,3.74439,5.338809,1.594419,4.940859,0.323559
2025-06-03,1.8434,4.079339,2.235939,2.91436,0.562837
2025-07-06,5.535639,7.567719,2.032069,6.857419,0.428965
2025-07-07,5.511189,8.21714,2.70596,7.31826,0.563811
2025-07-08,5.21248,7.84665,2.63417,6.82215,0.574226
2025-07-09,5.160009,6.898379,1.738369,6.312419,0.386774
2025-07-10,4.9421,5.791399,0.849305,5.56953,0.162973
2025-07-11,1.902259,3.14419,1.24193,2.56592,0.322001
2025-07-12,2.592609,4.1658,1.573189,3.349999,0.36941
2025-07-13,4.60128,5.491399,0.890127,4.95613,0.186532
2025-07-14,5.35303,6.57908,1.22605,6.27353,0.253291
2025-07-15,5.82486,7.66854,1.84368,7.18341,0.370626
2025-07-16,5.85535,9.08662,3.23127,8.01988,0.670431
2025-07-18,4.64117,5.55142,0.91025,4.95447,0.205816
2025-07-19,4.112309,5.62024,1.50793,4.77321,0.328927
2025-07-20,1.88354,4.00923,2.125689,2.91739,0.507206
