date,minimum,maximum,range,mean,std
2025-07-12,5.217979,5.299479,0.081497,5.255879,0.014201
2025-07-13,6.1963,6.39548,0.199182,6.274499,0.05501
2025-07-14,6.95098,7.365509,0.414537,7.123859,0.113383
2025-07-15,6.766119,7.272769,0.50665,7.01028,0.138706
2025-07-16,6.96559,7.347839,0.382257,7.15596,0.103906
2025-07-18,7.893229,8.34556,0.452329,8.07312,0.118285
2025-07-19,7.484859,7.639639,0.154779,7.554989,0.031885
2025-07-20,6.41927,6.839469,0.420192,6.58678,0.110101
2025-04-23,5.52571,5.75396,0.228248,5.62234,0.061473
2025-04-24,5.54818,5.834179,0.285997,5.67917,0.078208
2025-04-25,4.531949,4.656149,0.124201,4.582039,0.03077
2025-04-26,5.680749,5.951449,0.270705,5.79119,0.072732
2025-04-27,5.39125,5.51524,0.123986,5.44707,0.033823
2025-04-28,5.61461,5.68203,0.067426,5.6451,0.018388
2025-04-29,3.34499,3.53638,0.191383,3.431139,0.052101
2025-04-30,3.962009,4.22554,0.263538,4.08615,0.071791
2025-05-01,4.43926,4.63415,0.194887,4.53238,0.053218
2025-05-02,3.711169,3.87344,0.162277,3.77881,0.043629
2025-05-05,3.940449,4.27365,0.333196,4.094679,0.090733
2025-05-07,4.565979,4.903399,0.337426,4.71671,0.092121
2025-05-10,4.644529,4.96214,0.317615,4.78828,0.086776
2025-05-14,5.50392,5.80881,0.304888,5.629839,0.081044
2025-05-15,5.661119,5.969799,0.308679,5.788539,0.083117
2025-05-16,5.511769,5.578249,0.066482,5.53774,0.01218
2025-05-17,5.38114,5.58362,0.202481,5.470719,0.055893
2025-05-18,4.993529,5.018909,0.025378,5.00284,0.005182
2025-05-19,5.39589,6.089169,0.693282,5.722509,0.189291
2025-05-20,6.92498,7.534619,0.609646,7.187679,0.164588
2025-05-21,6.62551,6.78628,0.160775,6.671889,0.03692
2025-05-22,7.06742,7.202579,0.135159,7.13359,0.027412
2025-05-23,6.04642,6.16133,0.114912,6.099959,0.030967
2025-05-24,5.48016,5.52087,0.040706,5.50011,0.010151
2025-05-25,6.263949,6.331679,0.067722,6.29154,0.018654
2025-05-26,6.348579,6.371429,0.022849,6.355939,0.00496
2025-05-27,6.03172,6.3597,0.327982,6.17256,0.089378
2025-05-28,6.67598,6.699979,0.023996,6.68373,0.005388
2025-05-29,8.04242,8.575929,0.533514,8.297619,0.145751
2025-05-30,7.91866,8.36361,0.44495,8.123439,0.121515
2025-05-31,6.04576,6.32587,0.280108,6.186769,0.07595
2025-06-01,4.171889,4.9793,0.807407,4.595339,0.219752
2025-06-02,5.18727,5.26482,0.077543,5.23251,0.018524
2025-06-03,6.076159,6.426829,0.35067,6.21745,0.093614
2025-07-06,6.04747,6.36242,0.314947,6.208119,0.085498
2025-07-07,6.592589,7.02291,0.430314,6.7993,0.117439
2025-07-08,4.235599,4.88601,0.650415,4.591,0.174042
2025-07-09,5.109809,5.50398,0.394165,5.31511,0.106797
2025-07-10,5.73322,6.078239,0.345021,5.896299,0.094124
2025-07-11,5.278399,5.465469,0.187067,5.3543,0.041982
