date,minimum,maximum,range,mean,std
2025-04-23,5.1076,5.736589,0.628997,5.45091,0.154431
2025-04-24,5.21365,5.598659,0.385004,5.411749,0.086197
2025-04-25,4.167719,4.94321,0.775488,4.542429,0.187276
2025-04-26,5.156919,6.026509,0.869588,5.61353,0.212274
2025-04-27,5.23215,5.4109,0.178746,5.33498,0.044073
2025-04-28,5.491479,5.63243,0.14094,5.579539,0.037074
2025-04-29,3.175299,3.374589,0.199294,3.268929,0.050399
2025-04-30,3.71439,4.013519,0.299129,3.828419,0.064882
2025-05-01,4.2339,4.48364,0.249739,4.34734,0.050426
2025-05-02,3.514559,3.841569,0.32701,3.67228,0.084365
2025-05-05,3.57311,3.99898,0.425868,3.775609,0.09042
2025-05-07,4.287799,4.619029,0.331232,4.431489,0.079184
2025-05-10,4.428959,4.70022,0.271254,4.51616,0.0596
2025-05-14,4.888609,5.929359,1.04076,5.419939,0.256902
2025-05-15,5.28738,5.90242,0.615041,5.590499,0.157012
2025-05-16,5.39266,6.058619,0.665956,5.647449,0.166765
2025-05-17,5.500179,6.1385,0.63832,5.742129,0.157539
2025-05-18,4.96715,5.20792,0.240768,5.062699,0.058964
2025-05-19,4.780079,5.54433,0.764244,5.076439,0.154458
2025-05-20,6.165639,7.17214,1.006489,6.72098,0.265603
2025-05-21,6.349329,7.800409,1.451089,6.91129,0.368144
2025-05-22,6.582419,8.09049,1.508069,7.22417,0.373466
2025-05-23,6.13484,6.54295,0.408111,6.28725,0.08379
2025-05-24,5.416769,5.8109,0.394129,5.568039,0.091209
2025-05-25,6.30067,6.5704,0.269728,6.406,0.066709
2025-05-26,6.35716,6.650119,0.292959,6.44925,0.067995
2025-05-27,6.183909,7.335999,1.152089,6.57981,0.301182
2025-05-28,6.672019,6.85409,0.182072,6.74794,0.046995
2025-05-29,7.535089,8.16248,0.627388,7.775109,0.129999
2025-05-30,7.510059,8.000749,0.490687,7.72297,0.099639
2025-05-31,6.26862,6.87224,0.603621,6.54285,0.1284
2025-06-01,4.8179,5.87829,1.060389,5.42386,0.222715
2025-06-02,4.978469,5.611999,0.63353,5.236199,0.140284
2025-06-03,5.467329,6.58395,1.116619,6.00706,0.278926
2025-07-06,6.29539,6.826049,0.530663,6.57636,0.11257
2025-07-07,6.88987,7.815499,0.925629,7.32378,0.207052
2025-07-08,4.71294,6.19776,1.48482,5.236229,0.380778
2025-07-09,5.435009,6.1978,0.762795,5.743569,0.173409
2025-07-10,5.96955,6.72126,0.751708,6.338079,0.165778
2025-07-11,4.8161,6.23185,1.41575,5.40739,0.351978
2025-07-12,4.947559,5.8561,0.908541,5.333399,0.224856
2025-07-13,6.277679,7.106379,0.8287,6.581299,0.210523
2025-07-14,7.13696,8.679619,1.542659,7.68238,0.400931
2025-07-15,7.11027,8.24565,1.13539,7.601439,0.261799
2025-07-16,7.251399,7.871799,0.620392,7.608479,0.138852
2025-07-18,6.925129,8.835889,1.91076,7.85362,0.466978
2025-07-19,7.065579,8.5085,1.442919,7.66343,0.359629
2025-07-20,5.512619,7.24339,1.730769,6.365159,0.423256
2025-07-21,7.134799,8.467559,1.332759,7.68788,0.332028
2025-07-22,7.058819,8.29666,1.23784,7.59214,0.287746
2025-07-23,6.86272,8.32227,1.45955,7.59357,0.362212
2025-07-25,7.14473,7.22051,0.075782,7.188159,0.016668
2025-07-26,6.88694,7.106249,0.219311,7.01267,0.053079
2025-07-28,6.72552,7.788909,1.06339,7.280119,0.231345
2025-07-29,5.46284,6.251749,0.788914,5.73914,0.204062
2025-07-30,6.62516,6.8225,0.197343,6.69469,0.039822
2025-07-31,6.72486,6.90044,0.17558,6.82133,0.048046
2025-08-01,6.15323,6.664659,0.511429,6.44104,0.115427
2025-08-02,6.527379,6.935039,0.407656,6.689109,0.102858
2025-08-03,6.49123,7.134469,0.643235,6.8708,0.145901
2025-08-04,5.75212,6.368659,0.616539,6.007299,0.132648
2025-08-05,5.77286,6.32422,0.55136,6.07527,0.118804
2025-08-06,5.318299,5.79015,0.471848,5.465549,0.114139
2025-08-07,5.39015,5.88636,0.496214,5.627319,0.103317
2025-08-08,5.234829,5.736649,0.50182,5.48078,0.103748
2025-08-09,5.41273,6.03339,0.620657,5.69806,0.133177
2025-08-10,6.52845,6.999529,0.471087,6.801849,0.105357
2025-08-11,7.40734,7.636209,0.22887,7.515729,0.051836
2025-08-12,7.56539,7.701169,0.135785,7.652599,0.029676
2025-08-13,6.97417,7.33294,0.358763,7.16861,0.076426
2025-08-18,7.24972,9.239439,1.989709,8.090359,0.49283
2025-08-19,6.93304,8.700579,1.767539,7.619969,0.443982
2025-08-20,6.556129,8.1329,1.576769,7.22766,0.391375
2025-08-21,6.411739,7.195799,0.784063,6.704969,0.198693
2025-08-22,5.427849,6.52356,1.09571,5.89898,0.254307
2025-08-23,4.559659,5.077089,0.517423,4.75009,0.130202
2025-08-24,4.472139,4.99583,0.523693,4.722249,0.109885
2025-08-25,5.26208,5.639739,0.377651,5.49168,0.084305
2025-08-26,5.61638,6.458479,0.842103,6.038489,0.182936
2025-08-28,5.823639,6.905069,1.081429,6.30143,0.266728
2025-08-29,5.90313,7.210179,1.307049,6.568399,0.323462
2025-08-30,6.081689,7.35817,1.276479,6.61312,0.318136
2025-08-31,4.96424,6.591509,1.627269,5.86941,0.404152
2025-09-01,5.60234,6.48112,0.878781,6.0429,0.224419
2025-09-02,5.748429,7.162419,1.41399,6.30633,0.357338
2025-09-03,5.707009,7.27395,1.566939,6.27501,0.40059
2025-09-04,6.244249,7.91621,1.671949,6.863409,0.429125
2025-09-05,5.47087,7.118659,1.647789,6.151199,0.389802
2025-09-06,4.97096,5.2251,0.254146,5.10291,0.059969
2025-09-07,2.378139,4.49482,2.116679,3.34977,0.510601
2025-09-08,5.27042,6.544819,1.27441,5.80171,0.317719
2025-09-09,6.230999,7.40907,1.178069,6.79404,0.293022
2025-09-11,5.75503,7.429669,1.67464,6.374879,0.415688
2025-09-13,6.741479,8.69736,1.95588,7.528999,0.489811
