date,minimum,maximum,range,mean,std
2025-04-23,3.978209,4.13133,0.153123,4.050069,0.030677
2025-04-24,4.426509,4.56009,0.133581,4.520219,0.028159
2025-04-25,3.58358,4.345069,0.761482,3.95087,0.136856
2025-04-26,4.42354,4.822,0.398458,4.60607,0.070381
2025-04-27,4.641119,4.781179,0.140056,4.715419,0.030579
2025-04-28,4.353149,4.62188,0.268732,4.52185,0.067438
2025-04-29,3.629199,4.037189,0.407988,3.842829,0.110078
2025-04-30,0.816285,0.969919,0.153633,0.920796,0.03172
2025-05-01,3.116509,3.420109,0.303598,3.263119,0.081283
2025-05-02,1.82523,2.17172,0.346484,2.014489,0.086544
2025-05-05,3.16561,3.688869,0.523256,3.422899,0.096808
2025-05-07,3.856889,4.169159,0.312274,4.00353,0.059331
2025-05-10,2.745199,3.299089,0.553884,3.003659,0.098638
2025-05-14,3.617739,4.018179,0.400445,3.81057,0.07915
2025-05-15,3.96332,4.50855,0.54522,4.242469,0.098461
2025-05-16,4.82101,5.08788,0.266867,4.933239,0.046873
2025-05-17,4.406159,4.73111,0.32495,4.61975,0.075746
2025-05-18,4.11986,4.312839,0.192987,4.188549,0.051647
2025-05-19,3.1751,3.37227,0.197172,3.29111,0.040571
2025-05-20,4.497429,4.781209,0.283782,4.648099,0.056173
2025-05-21,4.76796,4.939919,0.171959,4.855539,0.031899
2025-05-22,4.432109,4.793829,0.361719,4.633049,0.073169
2025-05-23,5.33328,5.820879,0.487601,5.56475,0.085668
2025-05-24,5.259809,5.620769,0.360962,5.490019,0.082137
2025-05-25,5.39974,5.70893,0.30919,5.5805,0.069124
2025-05-26,5.0366,5.321509,0.284904,5.179719,0.058096
2025-05-27,5.61385,5.857299,0.243446,5.71602,0.061829
2025-05-28,5.759769,6.14339,0.383614,6.016059,0.083904
2025-05-29,5.77856,6.27253,0.493966,6.09952,0.113142
2025-05-30,5.61068,6.123939,0.513258,5.92852,0.121307
2025-05-31,5.793149,6.40207,0.608913,6.18369,0.140101
2025-06-01,4.556439,5.06537,0.508935,4.868599,0.114959
2025-06-02,5.17358,5.46539,0.291812,5.30873,0.069716
2025-06-03,3.065659,3.43284,0.367184,3.26447,0.068197
2025-07-06,6.456799,6.98285,0.526048,6.83428,0.112856
2025-07-07,6.92705,7.11074,0.183691,7.03452,0.034093
2025-07-08,7.229239,7.63625,0.407012,7.466479,0.10344
2025-07-09,6.527609,7.058589,0.530974,6.858679,0.131375
2025-07-10,6.03722,6.37854,0.341327,6.228559,0.087647
2025-07-11,2.90492,3.523809,0.618888,3.220329,0.135863
2025-07-12,5.04079,5.269879,0.229099,5.165299,0.050859
2025-07-13,5.350279,5.685939,0.33566,5.552499,0.088524
2025-07-14,6.170909,6.468639,0.297724,6.313469,0.069499
2025-07-15,6.51475,6.795949,0.281206,6.70827,0.061311
2025-07-16,6.821189,7.81578,0.994588,7.50925,0.230556
2025-07-18,5.5707,6.04301,0.47231,5.828249,0.095174
2025-07-19,5.25775,5.80807,0.55032,5.56497,0.113656
2025-07-20,4.800089,5.205639,0.405548,5.032259,0.08425
2025-07-21,6.04638,6.194359,0.147982,6.1194,0.022617
2025-07-22,6.10997,6.526889,0.416916,6.351819,0.081487
2025-07-23,5.257929,5.9878,0.72987,5.77916,0.17061
2025-07-25,6.933549,7.34736,0.413814,7.157139,0.087651
2025-07-26,6.613409,6.892109,0.278703,6.747529,0.071076
2025-07-28,7.27394,7.53913,0.265192,7.42912,0.052554
2025-07-29,7.497109,7.941649,0.444546,7.731339,0.090555
2025-07-30,6.865079,7.194819,0.329733,7.071969,0.081552
2025-07-31,6.14511,6.59775,0.452641,6.41615,0.110785
2025-08-01,6.215889,6.60116,0.385266,6.44884,0.098856
2025-08-02,6.10188,6.51163,0.409745,6.38812,0.096638
2025-08-03,6.604819,7.035699,0.43088,6.854819,0.117119
2025-08-04,6.177529,7.02399,0.846462,6.74909,0.172426
2025-08-05,6.216829,6.86563,0.648804,6.68717,0.133949
2025-08-06,6.164299,6.80033,0.636029,6.589009,0.146558
2025-08-07,5.980679,6.745379,0.764702,6.513929,0.176118
2025-08-08,5.85047,6.525539,0.675067,6.32317,0.153463
2025-08-09,5.821549,6.330659,0.509118,6.199659,0.112916
2025-08-10,6.180739,7.129199,0.94845,6.875299,0.217831
2025-08-11,5.84425,6.353419,0.509172,6.13813,0.082468
2025-08-12,4.924749,5.914539,0.989795,5.637549,0.235752
2025-08-13,5.623209,6.156109,0.532898,5.957019,0.10147
2025-08-18,4.2954,5.50878,1.213379,5.134369,0.234439
2025-08-19,5.566199,5.760429,0.194233,5.640719,0.031408
2025-08-20,5.437379,5.6061,0.168717,5.50327,0.02489
2025-08-21,4.94884,5.22546,0.276625,5.080279,0.048645
2025-08-22,5.315209,5.568739,0.253533,5.480639,0.051455
2025-08-23,5.10749,5.70235,0.594861,5.53663,0.134893
2025-08-24,4.807519,5.32106,0.513541,5.18831,0.111011
2025-08-25,5.032519,5.54531,0.512786,5.41091,0.115744
2025-08-26,5.32107,5.690519,0.369444,5.571239,0.076565
2025-08-28,5.018809,5.23294,0.214123,5.10789,0.048137
2025-08-29,4.380209,4.79365,0.413435,4.599919,0.082745
2025-08-30,4.73995,5.055349,0.315394,4.8944,0.063986
