date,minimum,maximum,range,mean,std
2025-04-23,4.09001,4.16271,0.072696,4.11464,0.016308
2025-04-24,3.35012,4.619369,1.26925,3.721339,0.258996
2025-04-25,2.590039,3.126219,0.536173,2.71743,0.11122
2025-04-26,4.05003,4.37083,0.320798,4.13837,0.065646
2025-04-27,4.430029,4.639279,0.209251,4.50601,0.048682
2025-04-28,4.73682,5.138579,0.401764,4.96981,0.101865
2025-04-29,2.989289,3.395159,0.405878,3.203569,0.075421
2025-04-30,2.095289,2.46298,0.367682,2.277009,0.072952
2025-05-01,3.63877,4.00997,0.371203,3.915179,0.071914
2025-05-02,2.51003,2.809429,0.299401,2.587529,0.06138
2025-05-05,2.600019,2.717519,0.117501,2.643559,0.028177
2025-05-07,3.09696,3.390589,0.293626,3.18386,0.055655
2025-05-10,3.55023,3.94997,0.399737,3.84131,0.078313
2025-05-14,3.74721,4.00998,0.262764,3.94369,0.049418
2025-05-15,3.720069,4.2725,0.552428,3.908159,0.118827
2025-05-16,4.574059,4.79712,0.223058,4.625299,0.042408
2025-05-17,4.7965,4.9938,0.197301,4.895569,0.040309
2025-05-18,2.973459,3.052649,0.079191,3.01476,0.017067
2025-05-19,3.959779,4.08999,0.130202,4.0472,0.03192
2025-05-20,4.36002,4.543079,0.183053,4.42067,0.039439
2025-05-21,3.720089,4.75328,1.03319,3.9753,0.200376
2025-05-22,4.79003,5.3116,0.521566,4.882349,0.105747
2025-05-23,5.04003,5.38285,0.342815,5.12753,0.068595
2025-05-24,5.050049,5.572869,0.522819,5.194479,0.102057
2025-05-25,4.62268,4.97899,0.35631,4.727789,0.067745
2025-05-26,3.36014,4.624269,1.264129,3.73724,0.256989
2025-05-27,4.71005,5.20865,0.498598,4.84943,0.099799
2025-05-28,4.83007,5.49687,0.666801,5.017879,0.132892
2025-05-29,5.65005,6.02179,0.371742,5.781949,0.086508
2025-05-30,5.204539,5.6753,0.470753,5.351069,0.090369
2025-05-31,4.850069,5.57762,0.727545,5.049709,0.143699
2025-06-01,3.76668,4.457369,0.690688,3.992389,0.139514
2025-06-02,4.00005,4.459899,0.459848,4.13416,0.092751
2025-06-03,3.894999,4.099979,0.204979,4.03558,0.049027
2025-07-06,5.38004,5.819419,0.439384,5.4846,0.086516
2025-07-07,5.050039,5.40641,0.356373,5.150619,0.073047
2025-07-08,5.94005,6.34131,0.401255,6.08779,0.107271
2025-07-09,5.4168,5.579989,0.163185,5.52749,0.042934
2025-07-10,3.78006,4.196609,0.416552,3.936089,0.10228
2025-07-11,2.881,3.039979,0.158983,2.984169,0.03983
2025-07-12,4.25387,4.643939,0.390069,4.50961,0.095019
2025-07-13,4.61698,4.82132,0.204344,4.7024,0.044883
2025-07-14,5.334829,5.647329,0.312494,5.46458,0.058821
2025-07-15,5.89399,6.10394,0.209946,5.950459,0.044977
2025-07-16,5.17006,5.62411,0.454055,5.303549,0.094505
2025-07-18,4.874169,5.099969,0.225804,5.01197,0.059902
2025-07-19,4.680019,4.826029,0.146008,4.720129,0.031807
2025-07-20,4.701539,4.83998,0.138447,4.782299,0.039224
2025-07-21,5.15002,5.326169,0.176146,5.195809,0.039114
2025-07-22,4.56007,5.08921,0.529146,4.727769,0.109847
2025-07-23,4.927879,5.195859,0.267987,5.12236,0.062383
2025-07-25,6.36005,6.629059,0.269005,6.483139,0.068711
2025-07-26,5.96006,6.339799,0.379741,6.110109,0.099186
2025-07-28,5.700029,5.99028,0.290252,5.75474,0.060249
2025-07-29,6.648759,6.899089,0.25033,6.736529,0.060646
2025-07-30,5.86007,6.33478,0.474714,6.037569,0.118761
2025-07-31,5.390059,5.863049,0.472993,5.52923,0.0941
2025-08-01,4.61006,4.980269,0.370211,4.76101,0.087594
2025-08-02,5.050049,5.40394,0.353888,5.168499,0.076402
2025-08-03,5.430069,5.920829,0.490754,5.60573,0.107285
2025-08-04,5.611939,5.91336,0.301418,5.72067,0.073612
2025-08-05,5.200039,5.53723,0.337188,5.29402,0.067709
2025-08-06,4.870059,5.43517,0.565115,5.014619,0.108465
2025-08-07,4.490069,5.1367,0.646631,4.66728,0.126512
2025-08-08,4.830029,5.18086,0.350831,4.898719,0.0692
2025-08-09,4.800079,5.507249,0.707171,5.010049,0.141231
2025-08-10,4.820099,5.6725,0.852401,5.089039,0.175567
