date,minimum,maximum,range,mean,std
2025-04-23,3.747529,4.087669,0.340135,3.92738,0.088165
2025-04-24,3.863009,4.449689,0.586683,4.143169,0.15236
2025-04-25,2.79763,3.09136,0.293727,2.955379,0.070894
2025-04-26,3.96212,4.294169,0.332046,4.13459,0.085171
2025-04-27,4.29473,4.58009,0.285362,4.44427,0.073344
2025-04-28,4.79187,4.84775,0.055878,4.81919,0.012912
2025-04-29,2.60858,2.89156,0.282976,2.75597,0.069062
2025-04-30,2.516609,2.652139,0.135532,2.5738,0.032118
2025-05-01,3.393069,3.589299,0.196234,3.50755,0.049091
2025-05-02,2.65492,2.776979,0.122057,2.721329,0.02908
2025-05-05,2.577019,2.69631,0.119291,2.64573,0.03149
2025-05-07,2.74025,3.018709,0.27845,2.89173,0.069236
2025-05-10,3.37069,3.553159,0.182468,3.46875,0.042555
2025-05-14,3.513279,3.7328,0.219518,3.656909,0.053828
2025-05-15,3.91966,4.223509,0.303846,4.09167,0.075161
2025-05-16,3.974689,4.61458,0.63989,4.32032,0.156079
2025-05-17,4.215159,4.822549,0.607384,4.546669,0.149611
2025-05-18,2.899209,3.034909,0.135692,2.97019,0.031851
2025-05-19,3.738369,3.978149,0.239782,3.864049,0.058178
2025-05-20,3.99394,4.44736,0.453413,4.254049,0.110766
2025-05-21,3.922349,4.57002,0.647664,4.263189,0.15823
2025-05-22,4.51592,5.1317,0.615778,4.83788,0.152925
2025-05-23,4.660299,5.25081,0.590505,4.982049,0.148274
2025-05-24,4.64397,5.377029,0.733065,5.035039,0.183494
2025-05-25,4.26898,4.842589,0.573608,4.585949,0.141167
2025-05-26,4.06215,4.55654,0.494388,4.32317,0.1237
2025-05-27,4.516679,5.09038,0.573705,4.835969,0.143828
2025-05-28,4.70509,5.353419,0.64833,5.05558,0.164024
2025-05-29,5.02742,5.816219,0.788803,5.45612,0.196294
2025-05-30,4.77826,5.501939,0.72368,5.172689,0.181189
2025-05-31,4.584109,5.379459,0.795346,4.95167,0.193446
2025-06-01,3.93108,4.376939,0.445863,4.15923,0.114587
2025-06-02,3.78513,4.322329,0.537203,4.053649,0.128754
2025-06-03,3.66943,3.95769,0.288264,3.8352,0.072224
2025-07-06,4.87398,5.607389,0.733411,5.25535,0.184946
2025-07-07,4.70227,5.271969,0.569705,5.001399,0.146761
2025-07-08,5.1799,6.033959,0.854066,5.590569,0.212402
2025-07-09,4.766469,5.318379,0.551904,5.039859,0.13973
2025-07-10,3.78936,3.989049,0.199687,3.909329,0.053958
2025-07-11,2.6215,2.886339,0.264838,2.74704,0.066816
2025-07-12,3.67389,4.359419,0.685527,4.01702,0.163938
2025-07-13,4.017049,4.529329,0.512277,4.28691,0.129917
2025-07-14,4.98947,5.50959,0.52012,5.263589,0.132723
2025-07-15,5.304289,5.9439,0.639617,5.637579,0.163642
2025-07-16,4.83613,5.481739,0.645605,5.172389,0.165876
2025-07-18,4.12726,4.70514,0.577872,4.421629,0.145238
2025-07-19,4.292319,4.728199,0.435871,4.527239,0.112181
2025-07-20,4.18721,4.60262,0.415405,4.405789,0.105959
2025-07-21,4.73465,5.206999,0.472348,4.985209,0.121619
2025-07-22,4.360519,4.950729,0.590204,4.67254,0.150009
2025-07-23,4.624149,5.061059,0.43691,4.84525,0.110789
2025-07-25,6.431159,6.667039,0.235884,6.573619,0.063593
2025-07-26,5.298369,6.066259,0.767889,5.69676,0.195803
2025-07-28,4.947559,5.75388,0.806322,5.359829,0.204025
2025-07-29,5.85933,6.53913,0.679796,6.212769,0.173078
2025-07-30,5.523719,6.0453,0.521578,5.7958,0.133245
2025-07-31,4.72685,5.60198,0.875133,5.17179,0.219919
2025-08-01,4.298729,4.854159,0.555427,4.592229,0.143451
2025-08-02,4.489689,5.195789,0.706095,4.84839,0.180351
2025-08-03,4.90734,5.71636,0.809014,5.326169,0.206194
2025-08-04,4.677949,5.511909,0.833958,5.10119,0.209469
2025-08-05,4.61802,5.33688,0.718854,4.986229,0.183818
2025-08-06,4.2586,5.12959,0.870988,4.683119,0.222301
2025-08-07,4.28934,4.93366,0.644324,4.60685,0.165618
2025-08-08,4.29643,4.96715,0.670717,4.62798,0.171325
2025-08-09,4.468019,5.2744,0.80638,4.87015,0.206862
2025-08-10,4.614449,5.42674,0.812291,5.01546,0.208285
2025-08-11,4.640709,5.33198,0.691272,4.990789,0.176079
2025-08-12,5.04321,5.1079,0.06469,5.08577,0.016424
2025-08-13,4.70723,5.214049,0.50682,4.986979,0.131264
