date,minimum,maximum,range,mean,std
2025-04-23,4.11028,4.1394,0.029117,4.126589,0.004954
2025-04-24,3.90983,4.323969,0.414139,4.12482,0.103748
2025-04-25,2.59816,2.701479,0.103321,2.67122,0.027944
2025-04-26,4.16167,4.23388,0.072211,4.194349,0.018745
2025-04-27,4.57062,4.722259,0.151641,4.64269,0.038477
2025-04-28,5.132939,5.202559,0.06962,5.172719,0.01821
2025-04-29,3.356899,3.793659,0.436756,3.533689,0.104354
2025-04-30,1.83036,2.167089,0.336726,1.99869,0.076241
2025-05-01,3.849179,3.898119,0.048944,3.863579,0.009416
2025-05-02,2.59011,2.62801,0.037898,2.616389,0.007965
2025-05-05,2.62518,2.662349,0.037169,2.652299,0.008705
2025-05-07,3.32258,3.739979,0.417401,3.524909,0.098531
2025-05-10,3.624929,3.789479,0.164552,3.690659,0.036792
2025-05-14,3.903069,3.978209,0.075138,3.938839,0.016664
2025-05-15,4.015049,4.151299,0.136249,4.06436,0.029913
2025-05-16,4.66232,4.72342,0.061095,4.696119,0.015035
2025-05-17,4.67039,4.804759,0.13437,4.755149,0.030482
2025-05-18,2.939589,2.98598,0.046385,2.96971,0.01098
2025-05-19,3.917589,4.014299,0.096712,3.970639,0.020789
2025-05-20,4.463439,4.516149,0.052709,4.48395,0.011502
2025-05-21,3.736099,4.052889,0.316792,3.9198,0.067613
2025-05-22,4.69467,4.800829,0.10616,4.75574,0.023643
2025-05-23,5.047729,5.148819,0.10109,5.110169,0.019707
2025-05-24,5.209159,5.336229,0.12707,5.269609,0.023888
2025-05-25,4.421329,4.642199,0.220877,4.55829,0.048853
2025-05-26,3.675709,3.96176,0.286049,3.837179,0.05764
2025-05-27,4.70826,4.898819,0.190558,4.827799,0.039697
2025-05-28,4.857989,5.08684,0.228851,5.00177,0.047905
2025-05-29,5.923329,6.047049,0.123723,5.98816,0.026319
2025-05-30,4.95225,5.22692,0.274661,5.116209,0.060229
2025-05-31,4.92529,5.12794,0.202647,5.05282,0.040978
2025-06-01,3.49564,3.788769,0.293134,3.653369,0.066654
2025-06-02,4.19497,4.260739,0.065777,4.220339,0.012372
2025-06-03,3.82958,3.93597,0.106386,3.864729,0.020562
2025-07-06,5.300069,5.485929,0.185858,5.42146,0.040252
2025-07-07,4.88883,5.163849,0.27502,5.06708,0.060345
2025-07-08,6.30629,6.54648,0.240192,6.41018,0.050907
2025-07-09,5.228559,5.43796,0.209398,5.355249,0.045883
2025-07-10,4.16686,4.354469,0.187616,4.270569,0.038942
2025-07-11,2.826649,2.909699,0.08305,2.87049,0.017114
2025-07-12,4.10164,4.299119,0.197481,4.17113,0.04685
2025-07-13,4.811419,4.899179,0.087764,4.857679,0.019651
2025-07-14,5.097539,5.352519,0.254983,5.25148,0.056477
2025-07-15,5.68097,5.915969,0.234999,5.83794,0.053161
2025-07-16,5.010109,5.290669,0.280557,5.19811,0.065203
2025-07-18,4.79742,4.935339,0.137925,4.86632,0.02869
2025-07-19,4.61844,4.72374,0.105292,4.684569,0.021537
2025-07-20,4.66999,4.726109,0.056125,4.687389,0.011976
