date,minimum,maximum,range,mean,std
2025-04-23,4.097099,4.122019,0.024911,4.10956,0.005747
2025-04-24,3.42512,3.75652,0.331396,3.62097,0.074791
2025-04-25,2.614919,2.730619,0.1157,2.671639,0.024764
2025-04-26,4.069379,4.139019,0.069637,4.111539,0.016553
2025-04-27,4.44634,4.51913,0.072789,4.48717,0.01539
2025-04-28,4.911489,5.087989,0.176495,5.01475,0.048658
2025-04-29,3.1663,3.25916,0.092861,3.21105,0.023352
2025-04-30,2.218689,2.320169,0.101473,2.265959,0.022412
2025-05-01,3.897069,3.99246,0.095387,3.941159,0.021241
2025-05-02,2.525449,2.597039,0.071592,2.565089,0.017105
2025-05-05,2.610189,2.653779,0.043584,2.63536,0.010022
2025-05-07,3.152029,3.226739,0.074707,3.18545,0.018645
2025-05-10,3.82165,3.929049,0.107399,3.86806,0.024735
2025-05-14,3.919859,3.995239,0.075377,3.95667,0.016183
2025-05-15,3.76352,3.9393,0.17578,3.868809,0.038887
2025-05-16,4.58863,4.630229,0.041592,4.60409,0.009527
2025-05-17,4.86707,4.91368,0.046618,4.88845,0.010733
2025-05-18,3.01054,3.025979,0.01544,3.012219,0.001621
2025-05-19,4.02218,4.08042,0.058246,4.049689,0.012233
2025-05-20,4.374579,4.43198,0.057397,4.406229,0.012737
2025-05-21,3.77536,3.98461,0.209248,3.900719,0.048006
2025-05-22,4.808509,4.88215,0.073648,4.842999,0.015393
2025-05-23,5.059969,5.12722,0.067249,5.101399,0.014716
2025-05-24,5.08233,5.203589,0.121262,5.155469,0.026726
2025-05-25,4.689879,4.729229,0.039342,4.70518,0.007684
2025-05-26,3.44442,3.77623,0.331811,3.650039,0.07671
2025-05-27,4.741919,4.85675,0.114835,4.81367,0.025798
2025-05-28,4.873159,5.030819,0.157659,4.971779,0.035618
2025-05-29,5.68028,5.81934,0.139059,5.750919,0.030144
2025-05-30,5.30343,5.35677,0.053332,5.323019,0.011532
2025-05-31,4.89507,5.05914,0.164063,4.997729,0.036837
2025-06-01,3.91524,4.031879,0.116635,3.954279,0.025846
2025-06-02,4.029029,4.13882,0.109788,4.096439,0.024837
2025-06-03,3.9946,4.084129,0.089524,4.036039,0.019779
2025-07-06,5.402649,5.47697,0.074318,5.44818,0.015231
2025-07-07,5.07421,5.15534,0.081137,5.12479,0.017292
2025-07-08,5.972859,6.15563,0.182776,6.05488,0.041081
2025-07-09,5.488669,5.5685,0.079822,5.526319,0.017826
2025-07-10,3.82027,4.010529,0.190262,3.921149,0.042967
2025-07-11,2.948129,3.02532,0.077188,2.98303,0.017064
2025-07-12,4.434289,4.592529,0.158237,4.503509,0.036378
2025-07-13,4.65852,4.74303,0.084509,4.69245,0.021149
2025-07-14,5.423999,5.47374,0.049738,5.447619,0.007557
2025-07-15,5.91372,5.949269,0.035544,5.935619,0.006902
2025-07-16,5.20379,5.320489,0.116699,5.272779,0.024164
2025-07-18,4.968309,5.07986,0.111551,5.019849,0.025551
2025-07-19,4.689849,4.71959,0.029735,4.706669,0.006056
2025-07-20,4.75604,4.82736,0.071322,4.786759,0.016595
2025-07-21,5.16158,5.195479,0.033892,5.1813,0.006467
2025-07-22,4.59951,4.74617,0.146653,4.68937,0.031753
2025-07-23,5.07386,5.15884,0.084985,5.11952,0.019221
2025-07-25,6.392829,6.518489,0.125658,6.466199,0.028872
2025-07-26,5.99836,6.167709,0.169343,6.08568,0.039432
2025-07-28,5.713789,5.74476,0.030964,5.732789,0.006147
2025-07-29,6.6907,6.792019,0.101326,6.72798,0.025301
2025-07-30,5.90495,6.113999,0.209055,6.013929,0.048312
2025-07-31,5.424409,5.552999,0.128583,5.49556,0.027114
2025-08-01,4.648749,4.80388,0.155128,4.735809,0.032491
2025-08-02,5.078939,5.1908,0.111859,5.1412,0.02452
2025-08-03,5.474009,5.64651,0.172499,5.571589,0.036311
2025-08-04,5.66095,5.778079,0.117127,5.70482,0.030954
2025-08-05,5.222879,5.30131,0.07843,5.26877,0.016101
2025-08-06,4.902609,5.017029,0.114422,4.96819,0.025505
2025-08-07,4.53064,4.678679,0.148039,4.618959,0.031477
